dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
62,Jonny Bairstow,JM Bairstow,ENG,123,34.74,55.07,-,-,-,-,Right-hand bat,Right-arm medium
63,Lionel Baker,LS Baker,WI,6,11.50,41.81,660.0,79.00,3.59,132.0,Left-hand bat,Right-arm medium-fast
64,Lakshmipathy Balaji,L Balaji,INDIA,9,5.66,40.47,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,Right-arm medium-fast
65,Andy Balbirnie,A Balbirnie,IRE,6,24.33,59.10,6.0,-,8.00,-,Right-hand bat,Right-arm offbreak
66,Jake Ball,JT Ball,ENG,8,8.37,53.60,612.0,114.33,3.36,204.0,Right-hand bat,Right-arm fast-medium
67,Gary Ballance,GS Ballance,ENG,42,37.45,47.16,12.0,-,2.50,-,Left-hand bat,Legbreak
68,Cameron Bancroft,CT Bancroft,AUS,18,26.23,42.80,-,-,-,-,Right-hand bat,-
69,Malinga Bandara,HMCM Bandara,SL,9,17.71,53.44,1026.0,34.62,3.23,64.1,Right-hand bat,Legbreak
70,Niroshan Bandaratilleke,MRCN Bandaratilleke,SL,3,20.50,51.89,426.0,53.75,3.02,106.5,Right-hand bat,Slow left-arm orthodox
71,Sanjay Bangar,SB Bangar,INDIA,18,29.37,32.48,762.0,49.00,2.70,108.8,Right-hand bat,Right-arm medium-fast
72,Omari Banks,OAC Banks,WI,16,26.50,38.92,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
73,Adrian Barath,AB Barath,WI,28,23.46,47.33,6.0,-,4.00,-,Right-hand bat,Right-arm offbreak
74,Gareth Batty,GJ Batty,ENG,12,14.90,25.68,1713.9999999999998,60.93,3.19,114.2,Right-hand bat,Right-arm offbreak
75,Carlton Baugh,CS Baugh,WI,36,17.94,50.00,-,-,-,-,Right-hand bat,Legbreak googly
76,Temba Bavuma,T Bavuma,SA,67,30.75,48.32,96.0,61.00,3.81,96.0,Right-hand bat,Right-arm medium
77,Bazid Khan,Bazid Khan,PAK,2,16.00,68.08,-,-,-,-,Right-hand bat,Right-arm offbreak
78,Michael Beer,MA Beer,AUS,3,3.00,21.42,406.00000000000006,59.33,2.63,135.3,Right-hand bat,Slow left-arm orthodox
79,Ian Bell,IR Bell,ENG,205,42.69,49.46,108.0,76.00,4.22,108.0,Right-hand bat,Right-arm medium
80,Matthew Bell,MD Bell,NZ,17,31.75,46.26,-,-,-,-,Right-hand bat,Right-arm offbreak
81,Sulieman Benn,SJ Benn,WI,39,14.29,60.59,7320.999999999999,39.10,2.78,84.1,Left-hand bat,Slow left-arm orthodox
82,Hamish Bennett,HK Bennett,NZ,1,4.00,13.33,90.0,-,3.13,-,Left-hand bat,Right-arm medium-fast
83,David Bernard,DE Bernard,WI,6,40.40,53.15,258.0,46.25,4.30,64.5,Right-hand bat,Right-arm medium-fast
84,Brandon Bess,BJ Bess,WI,2,11.00,91.66,78.0,92.00,7.07,78.0,Right-hand bat,Right-arm fast-medium
85,Dom Bess,DM Bess,ENG,10,27.85,50.91,1259.0,33.43,2.54,78.6,Right-hand bat,Right-arm offbreak
86,Tino Best,TL Best,WI,38,12.53,56.79,3716.0000000000005,40.19,3.69,65.1,Right-hand bat,Right-arm fast
87,Andy Bichel,AJ Bichel,AUS,15,21.21,73.51,2557.0,29.57,3.40,52.1,Right-hand bat,Right-arm fast-medium
88,Martin Bicknell,MP Bicknell,ENG,3,6.33,52.77,558.0,28.00,3.01,55.8,Right-hand bat,Right-arm fast-medium
89,Bilal Asif,Bilal Asif,PAK,8,9.12,41.47,1174.0,26.50,2.16,73.3,Right-hand bat,Right-arm offbreak
90,Bilawal Bhatti,Bilawal Bhatti,PAK,3,35.00,45.75,438.0,48.50,3.98,73.0,Right-hand bat,Right-arm medium-fast
91,Stuart Binny,STR Binny,INDIA,10,21.55,58.25,450.0,86.00,3.44,150.0,Right-hand bat,Right-arm medium
92,Jackson Bird,JM Bird,AUS,9,14.33,30.49,1934.0,30.64,3.23,56.8,Right-hand bat,Right-arm fast-medium
93,Devendra Bishoo,D Bishoo,WI,61,15.36,37.15,8067.0,37.17,3.23,68.9,Left-hand bat,Legbreak
94,Marlon Black,MI Black,WI,5,3.75,21.12,552.0,56.66,3.69,92.0,Right-hand bat,Right-arm fast-medium
95,Ian Blackwell,ID Blackwell,ENG,1,4.00,25.00,114.0,-,3.73,-,Left-hand bat,Slow left-arm orthodox
96,Jermaine Blackwood,J Blackwood,WI,55,30.84,58.89,324.0,97.00,3.59,162.0,Right-hand bat,Right-arm offbreak
97,Andy Blignaut,AM Blignaut,ZIM,36,26.84,68.57,3173.0,37.05,3.71,59.8,Left-hand bat,Right-arm medium-fast
98,Tom Blundell,TA Blundell,NZ,11,47.22,49.47,18.0,-,4.33,-,Right-hand bat,Right-arm offbreak
99,Nicky Boje,N Boje,SA,49,23.32,50.95,6849.0,47.64,3.17,90.1,Left-hand bat,Slow left-arm orthodox
100,Doug Bollinger,DE Bollinger,AUS,14,7.71,33.96,2401.0,25.92,3.23,48.0,Left-hand bat,Left-arm fast-medium
101,Shane Bond,SE Bond,NZ,20,12.92,38.88,3372.0,22.09,3.41,38.7,Right-hand bat,Right-arm fast
102,Ravi Bopara,RS Bopara,ENG,19,31.94,52.89,434.0,290.00,4.00,434.0,Right-hand bat,Right-arm medium
103,Scott Borthwick,SG Borthwick,ENG,2,2.50,26.31,78.0,20.50,6.30,19.5,Left-hand bat,Legbreak
104,Johan Botha,J Botha,SA,6,20.75,34.87,1017.0000000000001,33.70,3.38,59.8,Right-hand bat,Right-arm offbreak
105,Mark Boucher,MV Boucher,ICC/SA,160,30.50,50.72,8.0,6.00,4.50,8.0,Right-hand bat,Right-arm medium
106,Trent Boult,TA Boult,NZ,82,15.20,56.86,14874.0,27.65,2.97,55.7,Right-hand bat,Left-arm fast-medium
107,Doug Bracewell,DAJ Bracewell,NZ,45,13.85,46.36,4984.0,38.83,3.36,69.2,Right-hand bat,Right-arm fast-medium
108,Nathan Bracken,NW Bracken,AUS,6,17.50,62.50,1110.0,42.08,2.72,92.5,Right-hand bat,Left-arm fast-medium
109,Grant Bradburn,GE Bradburn,NZ,1,0.00,0.00,252.0,124.00,2.95,252.0,Right-hand bat,Right-arm offbreak
110,Ian Bradshaw,IDR Bradshaw,WI,8,13.71,26.96,1021.0,60.00,3.17,113.4,Left-hand bat,Left-arm fast-medium
111,Carlos Brathwaite,CR Brathwaite,WI,5,45.25,63.73,408.0,242.00,3.55,408.0,Right-hand bat,Right-arm fast-medium
112,Kraigg Brathwaite,KC Brathwaite,WI,118,33.08,40.98,1940.0,57.94,3.22,107.7,Right-hand bat,Right-arm offbreak
113,Dwayne Bravo,DJ Bravo,WI,71,31.42,48.59,6466.000000000001,39.83,3.17,75.1,Right-hand bat,Right-arm medium
114,Darren Bravo,DM Bravo,WI,98,37.69,44.95,6.0,-,2.00,-,Left-hand bat,Right-arm medium
115,Gareth Breese,GR Breese,WI,2,2.50,19.23,188.0,67.50,4.30,94.0,Right-hand bat,Right-arm offbreak
116,Gary Brent,GB Brent,ZIM,3,10.66,30.18,450.0,85.00,2.26,225.0,Right-hand bat,Right-arm medium
117,Tim Bresnan,TT Bresnan,ENG,26,26.13,39.43,4674.0,32.73,3.02,64.9,Right-hand bat,Right-arm medium-fast
118,Stuart Broad,SCJ Broad,ENG,205,18.98,65.41,28440.0,27.94,2.95,56.7,Left-hand bat,Right-arm fast-medium
119,Shamarh Brooks,SSJ Brooks,WI,11,33.54,47.49,-,-,-,-,Right-hand bat,Legbreak
120,Neil Broom,NT Broom,NZ,3,10.66,44.44,-,-,-,-,Right-hand bat,Right-arm medium
121,Courtney Browne,CO Browne,WI,10,13.70,45.81,-,-,-,-,Right-hand bat,-
122,Dean Brownlie,DG Brownlie,NZ,25,29.62,44.80,66.0,52.00,4.72,66.0,Right-hand bat,Right-arm medium
123,Jasprit Bumrah,JJ Bumrah,INDIA,21,2.90,21.91,3080.9999999999995,20.33,2.69,45.3,Right-hand bat,Right-arm fast
124,Ryan Burl,RP Burl,ZIM,2,8.00,41.02,-,-,-,-,Left-hand bat,Legbreak
125,Joe Burns,JA Burns,AUS,36,38.30,56.67,-,-,-,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
126,Rory Burns,RJ Burns,ENG,34,35.67,44.90,-,-,-,-,Left-hand bat,Right-arm medium
127,Mark Butcher,MA Butcher,ENG,80,41.01,45.83,569.0,31.00,3.92,47.4,Left-hand bat,Right-arm medium
128,Ian Butler,IG Butler,NZ,10,9.50,46.62,1368.0,36.83,3.87,57.0,Right-hand bat,Right-arm fast
129,Jos Buttler,JC Buttler,ENG,78,31.63,57.51,-,-,-,-,Right-hand bat,-
130,Andy Caddick,AR Caddick,ENG,34,8.17,40.16,4929.0,31.74,3.51,54.1,Right-hand bat,Right-arm fast-medium
131,Chris Cairns,CL Cairns,NZ,21,37.40,83.29,2317.0,30.10,3.66,49.2,Right-hand bat,Right-arm fast-medium
132,James Cameron-Dow,J Cameron-Dow,IRE,2,41.00,58.57,143.0,39.33,4.95,47.6,Left-hand bat,Slow left-arm orthodox
133,Alistair Campbell,ADR Campbell,ZIM,23,31.86,45.43,-,-,-,-,Left-hand bat,Right-arm offbreak
134,John Campbell,JD Campbell,WI,18,25.46,60.06,61.0,-,2.95,-,Left-hand bat,Right-arm offbreak
135,Sherwin Campbell,SL Campbell,WI,4,39.75,38.78,-,-,-,-,Right-hand bat,Right-arm medium
136,Michael Carberry,MA Carberry,ENG,12,28.75,41.31,-,-,-,-,Left-hand bat,Right-arm offbreak
137,Stuart Carlisle,SV Carlisle,ZIM,42,28.94,37.87,-,-,-,-,Right-hand bat,Right-arm medium
138,Hilton Cartwright,HWR Cartwright,AUS,2,27.50,44.00,54.0,-,3.44,-,Right-hand bat,Right-arm medium
139,Beau Casson,B Casson,AUS,1,10.00,22.72,192.0,43.00,4.03,64.0,Right-hand bat,Slow left-arm chinaman
140,Regis Chakabva,RW Chakabva,ZIM,34,25.18,37.98,-,-,-,-,Right-hand bat,Right-arm offbreak
141,Dushmantha Chameera,PVD Chameera,SL,15,5.30,27.71,1391.0,41.00,4.24,57.9,Right-hand bat,Right-arm fast
142,Upul Chandana,UDU Chandana,SL,17,29.64,51.79,1843.0000000000002,49.80,3.40,87.7,Right-hand bat,Legbreak
143,Shivnarine Chanderpaul,S Chanderpaul,WI,205,55.66,44.21,354.0,62.00,3.15,118.0,Left-hand bat,Legbreak
144,Dinesh Chandimal,LD Chandimal,SL,103,40.81,48.69,-,-,-,-,Right-hand bat,Right-arm offbreak
145,Rajendra Chandrika,R Chandrika,WI,10,14.00,31.25,-,-,-,-,Right-hand bat,Right-arm offbreak
146,Brian Chari,BB Chari,ZIM,14,18.14,39.56,18.0,-,4.00,-,Right-hand bat,Right-arm offbreak
147,Roston Chase,RL Chase,WI,64,30.86,47.57,4922.0,41.15,3.46,71.3,Right-hand bat,Right-arm offbreak
148,Tendai Chatara,TL Chatara,ZIM,16,6.42,48.64,1695.0,27.62,2.34,70.6,Right-hand bat,Right-arm fast-medium
149,Sewnarine Chattergoon,S Chattergoon,WI,7,18.14,43.94,-,-,-,-,Left-hand bat,Legbreak
150,Piyush Chawla,PP Chawla,INDIA,3,2.00,26.08,492.0,38.57,3.29,70.2,Left-hand bat,Legbreak
151,Chamu Chibhabha,CJ Chibhabha,ZIM,6,20.66,36.36,246.0,162.00,3.95,246.0,Right-hand bat,Right-arm medium
152,Elton Chigumbura,E Chigumbura,ZIM,27,21.07,50.22,1806.0,46.00,3.20,86.0,Right-hand bat,Right-arm fast-medium
153,Michael Chinouya,MT Chinouya,ZIM,4,0.50,2.94,342.0,62.66,3.29,114.0,Right-hand bat,Right-arm fast-medium
154,Tendai Chisoro,TS Chisoro,ZIM,1,9.00,60.00,248.00000000000003,37.66,2.73,82.6,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox"
155,Aakash Chopra,A Chopra,INDIA,19,23.00,34.60,-,-,-,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
156,Stuart Clark,SR Clark,AUS,26,13.05,70.05,5146.0,23.86,2.61,54.7,Right-hand bat,Right-arm fast-medium
157,Michael Clarke,MJ Clarke,AUS,198,49.10,55.92,2435.0,38.19,2.91,78.5,Right-hand bat,Slow left-arm orthodox
158,Rikki Clarke,R Clarke,ENG,3,32.00,37.94,174.0,15.00,2.06,43.5,Right-hand bat,Right-arm medium-fast
159,Paul Collingwood,PD Collingwood,ENG,115,40.56,46.44,1905.0,59.88,3.20,112.0,Right-hand bat,Right-arm medium
160,Pedro Collins,PT Collins,WI,42,6.31,35.36,6286.000000000001,33.76,3.15,64.1,Right-hand bat,Left-arm fast-medium
161,Corey Collymore,CD Collymore,WI,50,7.50,30.92,6091.0,31.46,2.85,66.2,Right-hand bat,Right-arm fast-medium
162,Nick Compton,NRD Compton,ENG,30,28.70,36.04,-,-,-,-,Right-hand bat,Right-arm offbreak
163,Sir Alastair Cook,AN Cook,ENG,291,45.35,46.95,18.0,7.00,2.33,18.0,Left-hand bat,Right-arm slow
164,Stephen Cook,SC Cook,SA,19,33.26,45.07,12.0,-,8.00,-,Right-hand bat,Right-arm medium
165,Trent Copeland,TA Copeland,AUS,4,13.00,50.64,648.0,37.83,2.10,108.0,Right-hand bat,Right-arm fast-medium
166,Dominic Cork,DG Cork,ENG,8,17.50,50.90,1056.0,41.76,3.08,81.2,Right-hand bat,Right-arm fast-medium
167,Rahkeem Cornwall,RRS Cornwall,WI,5,6.40,52.45,921.0000000000001,35.23,2.98,70.8,Right-hand bat,Right-arm offbreak
168,Sheldon Cottrell,SS Cottrell,WI,4,2.75,45.83,276.0,98.00,4.26,138.0,Right-hand bat,Left-arm fast-medium
169,Charles Coventry,CK Coventry,ZIM,4,22.00,94.62,-,-,-,-,Right-hand bat,Legbreak
170,Ed Cowan,EJM Cowan,AUS,32,31.28,41.27,-,-,-,-,Left-hand bat,Legbreak
171,Mark Craig,MD Craig,NZ,25,36.81,54.38,3668.9999999999995,46.52,3.80,73.3,Left-hand bat,Right-arm offbreak
172,Mason Crane,MS Crane,ENG,2,3.00,54.54,288.0,193.00,4.02,288.0,Right-hand bat,Legbreak googly
173,John Crawley,JP Crawley,ENG,14,47.10,41.68,-,-,-,-,Right-hand bat,Right-arm medium
174,Zak Crawley,Z Crawley,ENG,10,26.10,48.87,-,-,-,-,Right-hand bat,Right-arm offbreak
175,Graeme Cremer,AG Cremer,ZIM,38,16.36,32.58,4214.0,45.68,3.70,73.9,Right-hand bat,Legbreak googly
176,Robert Croft,RDB Croft,ENG,7,13.33,25.72,684.0,26.80,2.35,68.4,Right-hand bat,Right-arm offbreak
177,Cameron Cuffy,CE Cuffy,WI,18,4.72,23.00,2854.0,31.91,2.41,79.2,Right-hand bat,Right-arm fast
178,Dan Cullen,DJ Cullen,AUS,-,-,-,84.0,54.00,3.85,84.0,Right-hand bat,Right-arm offbreak
179,Daryll Cullinan,DJ Cullinan,SA,12,56.27,46.26,-,-,-,-,Right-hand bat,Right-arm offbreak
180,Craig Cumming,CD Cumming,NZ,19,25.94,34.86,-,-,-,-,Right-hand bat,-
181,Miguel Cummins,ML Cummins,WI,22,7.60,35.51,1976.0,40.14,3.29,73.1,Left-hand bat,Right-arm fast-medium
182,Pat Cummins,PJ Cummins,AUS,44,17.02,38.51,6761.0,21.82,2.76,47.2,Right-hand bat,Right-arm fast
183,Sam Curran,SM Curran,ENG,31,26.96,65.40,2326.0,31.82,3.28,58.1,Left-hand bat,Left-arm medium-fast
184,Tom Curran,TK Curran,ENG,3,33.00,55.00,396.0,100.00,3.03,198.0,Right-hand bat,Right-arm fast-medium
185,Keith Dabengwa,KM Dabengwa,ZIM,6,15.00,64.28,438.0,49.80,3.41,87.6,Left-hand bat,Slow left-arm orthodox
186,Akila Dananjaya,A Dananjaya,SL,10,16.87,53.14,1385.0,24.81,3.54,41.9,Left-hand bat,"Right-arm offbreak, Legbreak"
187,Danish Kaneria,Danish Kaneria,PAK,81,7.04,48.61,17151.0,34.49,3.10,66.7,Right-hand bat,Legbreak
188,Shiv Sunder Das,SS Das,INDIA,35,32.44,37.05,48.0,-,3.50,-,Right-hand bat,Right-arm medium
189,Deep Dasgupta,D Dasgupta,INDIA,13,28.66,30.55,-,-,-,-,Right-hand bat,-
190,Alan Dawson,AC Dawson,SA,1,10.00,23.80,252.0,23.40,2.78,50.4,Right-hand bat,Right-arm medium-fast
191,Liam Dawson,LA Dawson,ENG,6,21.00,42.63,526.0,42.57,3.39,75.1,Right-hand bat,Slow left-arm orthodox
192,Richard Dawson,RKJ Dawson,ENG,13,11.40,31.40,1116.0,61.54,3.63,101.4,Right-hand bat,Right-arm offbreak
193,Theunis de Bruyn,TB de Bruyn,SA,23,19.45,46.87,102.0,-,4.35,-,Right-hand bat,Right-arm medium-fast
194,Zander de Bruyn,Z de Bruyn,SA,5,38.75,37.89,216.0,30.66,2.55,72.0,Right-hand bat,Right-arm fast-medium
195,Colin de Grandhomme,C de Grandhomme,NZ,36,37.03,81.72,3683.0,31.63,2.42,78.3,Right-hand bat,Right-arm medium-fast
196,Quinton de Kock,Q de Kock,SA,80,39.12,70.95,-,-,-,-,Left-hand bat,-
197,Marchant de Lange,M de Lange,SA,2,4.50,47.36,448.00000000000006,30.77,3.70,49.7,Right-hand bat,Right-arm fast
198,Joe Denly,JL Denly,ENG,28,29.53,39.64,390.0,109.50,3.36,195.0,Right-hand bat,Legbreak
199,Narsingh Deonarine,N Deonarine,WI,30,25.89,41.95,1503.0,29.70,2.84,62.6,Left-hand bat,Right-arm offbreak
dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Dhananjaya de Silva,DM de Silva,SL,57,35.15,56.66,1957.0000000000002,51.95,3.34,93.1,Right-hand bat,Right-arm offbreak
1,Aravinda de Silva,PA de Silva,SL,13,48.69,53.78,279.0,58.50,2.51,139.5,Right-hand bat,Right-arm offbreak
2,Sujeewa de Silva,WRS de Silva,SL,2,10.00,26.31,432.0,19.00,2.90,39.2,Right-hand bat,Left-arm medium-fast
3,AB de Villiers,AB de Villiers,SA,191,50.66,54.51,204.0,52.00,3.05,102.0,Right-hand bat,Right-arm medium
4,Friedel de Wet,F de Wet,SA,2,10.00,28.16,426.0,31.00,2.61,71.0,Right-hand bat,Right-arm fast-medium
5,Kumar Dharmasena,HDPK Dharmasena,SL,12,17.09,32.19,1764.0,58.21,2.77,126.0,Right-hand bat,Right-arm offbreak
6,Shikhar Dhawan,S Dhawan,INDIA,58,40.61,66.94,54.0,-,2.00,-,Left-hand bat,Right-arm offbreak
7,MS Dhoni,MS Dhoni,INDIA,144,38.09,59.11,96.0,-,4.18,-,Right-hand bat,Right-arm medium
8,Niroshan Dickwella,N Dickwella,SL,66,30.98,67.28,-,-,-,-,Left-hand bat,-
9,Sameer Dighe,SS Dighe,INDIA,10,15.66,38.31,-,-,-,-,Right-hand bat,-
10,Mervyn Dillon,M Dillon,WI,47,8.71,36.12,6522.0,33.79,2.92,69.3,Right-hand bat,Right-arm fast-medium
11,Tillakaratne Dilshan,TM Dilshan,SL,135,41.21,68.09,3385.0,43.87,3.03,86.7,Right-hand bat,Right-arm offbreak
12,Boeta Dippenaar,HH Dippenaar,SA,53,30.62,41.45,12.0,-,0.50,-,Right-hand bat,Right-arm offbreak
13,George Dockrell,GH Dockrell,IRE,2,32.00,35.75,240.0,60.50,3.02,120.0,Right-hand bat,Slow left-arm orthodox
14,Xavier Doherty,XJ Doherty,AUS,7,12.75,32.07,918.0,78.28,3.58,131.1,Left-hand bat,Slow left-arm orthodox
