fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
47,Laura Christina Boylan,LC Boylan,IRE-W,4,19.00,0,12.0,-,8.00,-,Right-hand bat,Right-arm medium
48,Daniëlle Marloes Braat,DM Braat,NL-W,18,5.53,0,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm medium
49,Janet Catherine Brehaut,JC Brehaut,NZ-W,3,20.00,0,-,-,-,-,Right-hand bat,Right-arm medium
50,Arran Brindle,A Brindle,ENG-W,73,29.98,11,2075.0,35.63,2.26,94.3,Right-hand bat,Right-arm medium
51,Cri-zelda Brits,C Brits,SA-W,63,28.96,11,667.0,52.57,3.31,95.2,Right-hand bat,Right-arm medium-fast
52,Kris Lynsey Britt,KL Britt,AUS-W,14,9.36,0,-,-,-,-,Right-hand bat,Legbreak
53,Louise Catherine Broadfoot,LC Broadfoot,AUS-W,6,10.40,0,-,-,-,-,Right-hand bat,Legbreak googly
54,Laura Brouwers,L Brouwers,NL-W,9,5.16,0,326.0,51.66,2.85,108.6,Right-hand bat,Right-arm medium
55,Nicola Jane Browne,NJ Browne,NZ-W,102,27.05,10,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Right-arm medium
56,Katherine Helen Brunt,KH Brunt,ENG-W,69,16.54,2,204.0,21.25,2.50,51.0,Right-hand bat,Right-arm medium-fast
57,Aoife Maud Budd,AM Budd,IRE-W,3,3.00,0,-,-,-,-,Right-hand bat,Right-arm medium
58,Una Grace Budd,UG Budd,IRE-W,7,13.16,0,48.0,-,2.12,-,Right-hand bat,-
59,Nidhi Buley,N Buley,IND-W,-,-,-,-,-,-,-,Left-hand bat,Left-arm slow
60,Melissa Jane Bulow,MJ Bulow,AUS-W,19,26.26,6,366.0,67.66,3.32,122.0,Right-hand bat,-
61,Sarah Kate Burke,SK Burke,NZ-W,18,8.11,0,-,-,-,-,Right-hand bat,Right-arm medium
62,Erin Alexandra Burns,EA Burns,AUS-W,-,-,-,-,-,-,-,Right-hand bat,Right-arm offbreak
63,Abby Kirstyn Burrows,AK Burrows,NZ-W,5,-,0,660.0,79.00,3.59,132.0,Left-hand bat,Right-arm medium
64,Emma Maree Campbell,EM Campbell,NZ-W,2,14.00,0,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,Legbreak
65,Fiona Campbell,F Campbell,SCO-W,4,1.66,0,6.0,-,8.00,-,Right-hand bat,Legbreak
66,Shemaine Altia Campbelle,SA Campbelle,WI-W,70,19.08,1,612.0,114.33,3.36,204.0,Right-hand bat,Right-arm medium-fast
67,Rachel Helen Candy,RH Candy,NZ-W,11,6.75,0,12.0,-,2.50,-,Right-hand bat,Right-arm medium-fast
68,Nicola Jane Carey,NJ Carey,AUS-W,6,17.50,0,-,-,-,-,Left-hand bat,Right-arm medium
69,Jean Christine Carroll,JC Carroll,IRE-W,8,1.20,0,1026.0,34.62,3.23,64.1,Right-hand bat,-
70,Wickramasinghe Archchilage Chandrawathi,WA Chandrawathi,SL-W,5,8.00,0,426.0,53.75,3.02,106.5,Right-hand bat,Right-arm medium
71,Renee Kathleen Chappell,RK Chappell,AUS-W,2,4.00,0,762.0,49.00,2.70,108.8,Right-hand bat,Right-arm offbreak
72,Selena Eloise Charteris,SE Charteris,NZ-W,3,10.00,0,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
73,Lauren Cheatle,L Cheatle,AUS-W,2,13.00,0,6.0,-,4.00,-,Left-hand bat,Left-arm fast-medium
74,Trisha Chetty,T Chetty,SA-W,99,29.81,16,1713.9999999999998,60.93,3.19,114.2,Right-hand bat,-
75,Anjum Chopra,A Chopra,IND-W,91,30.05,12,-,-,-,-,Left-hand bat,Right-arm medium
76,Belinda Jane Clark,BJ Clark,AUS-W,46,34.31,8,96.0,61.00,3.81,96.0,Right-hand bat,Right-arm offbreak
77,Sarah Louise Clarke,SL Clarke,ENG-W,5,22.66,1,-,-,-,-,-,-
78,Nicola Jane Coffey,NJ Coffey,IRE-W,16,11.25,0,406.00000000000006,59.33,2.63,135.3,Right-hand bat,Left-arm medium-fast
79,Leonie Anne Coleman,LA Coleman,AUS-W,12,14.87,0,108.0,76.00,4.22,108.0,Right-hand bat,-
80,Sarah Victoria Collyer,SV Collyer,ENG-W,10,19.10,0,-,-,-,-,Right-hand bat,Right-arm medium
81,Holly Louise Colvin,HL Colvin,ENG-W,27,13.84,0,7320.999999999999,39.10,2.78,84.1,Right-hand bat,Slow left-arm orthodox
82,Shamilia Shontell Connell,SS Connell,WI-W,20,6.00,0,90.0,-,3.13,-,Right-hand bat,Right-arm fast
83,Clare Joanne Connor,CJ Connor,ENG-W,45,20.70,5,258.0,46.25,4.30,64.5,Right-hand bat,-
84,Britney Cooper,B Cooper,WI-W,37,14.00,1,78.0,92.00,7.07,78.0,Right-hand bat,Right-arm fast-medium
85,Sally Ann Cooper,SA Cooper,AUS-W,6,21.20,1,1259.0,33.43,2.54,78.6,Left-hand bat,Right-arm medium
86,Thandile Savanna Cordes,TS Cordes,SA-W,2,5.50,0,3716.0000000000005,40.19,3.69,65.1,Right-hand bat,-
87,Sarah Jane Coyte,SJ Coyte,AUS-W,18,22.00,1,2557.0,29.57,3.40,52.1,Right-hand bat,Right-arm medium
88,Ingrid Cronin-Knight,I Cronin-Knight,NZ-W,3,13.66,0,558.0,28.00,3.01,55.8,Right-hand bat,-
89,Kathryn Laura Cross,KL Cross,ENG-W,9,7.33,0,1174.0,26.50,2.16,73.3,Right-hand bat,Right-arm medium-fast
90,Laura Frances Mary Cullen,LFM Cullen,IRE-W,4,6.00,0,438.0,48.50,3.98,73.0,Right-hand bat,Right-arm medium-fast
91,Felicia Gail Cummings,F Cummings,WI-W,8,4.25,0,450.0,86.00,3.44,150.0,Right-hand bat,Slow left-arm orthodox
92,Shannon Brooke Cunneen,SB Cunneen,AUS-W,3,16.33,0,1934.0,30.64,3.23,56.8,Right-hand bat,-
93,Samantha Rae Haereakau Curtis,SRH Curtis,NZ-W,18,23.06,2,8067.0,37.17,3.23,68.9,Right-hand bat,Legbreak
94,Soniya Dabir,Soniya Dabir,IND-W,3,26.00,0,552.0,56.66,3.69,92.0,Right-hand bat,Right-arm medium
95,Shanel Francine Daley,SF Daley,WI-W,62,19.62,3,114.0,-,3.73,-,Left-hand bat,"Left-arm medium, Slow left-arm orthodox"
96,Catherine Clare Dalton,CC Dalton,IRE-W,4,14.75,0,324.0,97.00,3.59,162.0,Right-hand bat,Right-arm fast
97,Moseline Rochelle Daniels,M Daniels,SA-W,12,10.00,0,3173.0,37.05,3.71,59.8,Left-hand bat,Left-arm medium
98,Archana Das,A Das,IND-W,6,11.66,0,18.0,-,4.33,-,Right-hand bat,Right-arm offbreak
99,Diana Pilli David,DP David,IND-W,11,4.72,0,6849.0,47.64,3.17,90.1,Right-hand bat,Right-arm offbreak
100,Neetu David,N David,IND-W,21,5.41,0,2401.0,25.92,3.23,48.0,Right-hand bat,Slow left-arm orthodox
101,Alice Natica Davidson-Richards,AN Davidson-Richards,ENG-W,1,9.00,0,3372.0,22.09,3.41,38.7,Right-hand bat,Right-arm fast-medium
102,Freya Ruth Davies,FR Davies,ENG-W,-,-,-,434.0,290.00,4.00,434.0,Right-hand bat,Right-arm fast-medium
103,Stephanie Ann Davies,SA Davies,ENG-W,1,2.00,0,78.0,20.50,6.30,19.5,Right-hand bat,Right-arm medium-fast
104,Leanne Clare Davis,LC Davis,ENG-W,-,-,-,1017.0000000000001,33.70,3.38,59.8,Right-hand bat,Right-arm medium-fast
105,Joanna Christine Day,JC Day,IRE-W,5,7.00,0,8.0,6.00,4.50,8.0,Right-hand bat,-
106,Suwini Priyanga de Alwis,SP de Alwis,SL-W,47,14.38,1,14874.0,27.65,2.97,55.7,Left-hand bat,Slow left-arm orthodox
107,Lonell de Beer,L de Beer,SA-W,5,3.66,0,4984.0,38.83,3.36,69.2,Right-hand bat,Legbreak
108,Martien Louise de Boer,ML de Boer,NL-W,3,6.33,0,1110.0,42.08,2.72,92.5,Right-hand bat,Right-arm medium
109,Ramma Waduge Dumila Dedunu,D Dedunu,SL-W,4,-,0,252.0,124.00,2.95,252.0,Right-hand bat,-
110,Margarethe Everdine Caroline de Fouw,MEC de Fouw,NL-W,10,7.87,0,1021.0,60.00,3.17,113.4,Right-hand bat,Right-arm offbreak
111,Carlijn M de Groot,CM de Groot,NL-W,15,6.13,0,408.0,242.00,3.55,408.0,Right-hand bat,Right-arm medium
112,Nadine de Klerk,N de Klerk,SA-W,7,11.80,0,1940.0,57.94,3.22,107.7,Right-hand bat,Right-arm medium
113,Esther Laura Talitha de Lange,ELT de Lange,NL-W,15,6.72,0,6466.000000000001,39.83,3.17,75.1,Right-hand bat,Right-arm offbreak
114,Laura Delany,L Delany,IRE-W,34,14.76,0,6.0,-,2.00,-,Right-hand bat,Right-arm medium
115,Harleen Deol,H Deol,IND-W,1,2.00,0,188.0,67.50,4.30,94.0,Right-hand bat,Right-arm offbreak
116,Merel A de Regt,MA de Regt,NL-W,1,6.00,0,450.0,85.00,2.26,225.0,Right-hand bat,-
117,Anagha Arun Deshpande,AA Deshpande,IND-W,23,18.81,0,4674.0,32.73,3.02,64.9,Right-hand bat,-
118,Nishanka Nilakshi Damayanthi de Silva,NND de Silva,SL-W,18,17.06,0,28367.0,28.30,2.95,57.5,Right-hand bat,Right-arm slow-medium
119,Shane Calisa de Silva,SC de Silva,WI-W,13,15.72,0,-,-,-,-,Left-hand bat,Slow left-arm orthodox
120,Sophie Frances Monique Devine,SFM Devine,NZ-W,92,31.72,12,-,-,-,-,Right-hand bat,Right-arm medium
121,Dinesha Devnarain,D Devnarain,SA-W,21,10.58,0,-,-,-,-,Right-hand bat,Right-arm medium
122,Rumeli Dhar,R Dhar,IND-W,60,19.61,6,66.0,52.00,4.72,66.0,Right-hand bat,Right-arm medium
123,Dehigampala Gamaralalage Dharshani Rukshala Dharmasiri,DGDR Dharmasiri,SL-W,3,3.00,0,3080.9999999999995,20.33,2.69,45.3,Left-hand bat,Left-arm fast-medium
124,Ritu Dhrub,R Dhrub,IND-W,1,2.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
125,Diana Baig,Diana Baig,PAK-W,19,3.78,0,-,-,-,-,Right-hand bat,Right-arm medium
126,Welikonthage Kavisha Dilhari,WK Dilhari,SL-W,4,29.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
127,Preeti Dimri,P Dimri,IND-W,5,11.50,0,569.0,31.00,3.92,47.4,Left-hand bat,Slow left-arm orthodox
128,Anna Maree Dodd,AM Dodd,NZ-W,20,17.22,0,1368.0,36.83,3.87,57.0,Right-hand bat,Right-arm offbreak
129,Natalie Claire Dodd,NC Dodd,NZ-W,11,13.90,1,-,-,-,-,Right-hand bat,Right-arm offbreak
130,Sandamali Kumuduni Dolawatte,SK Dolawatte,SL-W,41,12.31,1,4929.0,31.74,3.51,54.1,Right-hand bat,Legbreak
131,Lucy Rose Doolan,LR Doolan,NZ-W,36,21.74,1,2317.0,30.10,3.66,49.2,Right-hand bat,Right-arm offbreak
132,Deandra Jalisa Shakira Dottin,DJS Dottin,WI-W,111,28.33,19,143.0,39.33,4.95,47.6,Right-hand bat,Right-arm fast-medium
133,Lauren Renee Down,LR Down,NZ-W,10,7.50,0,-,-,-,-,Right-hand bat,Right-arm medium
134,Emily Cecilia Drumm,EC Drumm,NZ-W,33,37.50,9,61.0,-,2.95,-,Right-hand bat,"Right-arm medium, Legbreak"
135,Annette J Drummond,AJ Drummond,SCO-W,5,1.80,0,-,-,-,-,Right-hand bat,Right-arm offbreak
136,Jessica Evelyn Duffin,JE Duffin,AUS-W,43,37.20,9,-,-,-,-,Right-hand bat,Legbreak googly
137,Mignon du Preez,M du Preez,SA-W,121,32.71,14,-,-,-,-,Right-hand bat,-
138,Kate Ellen Ebrahim,KE Ebrahim,NZ-W,25,10.64,0,54.0,-,3.44,-,Right-hand bat,Right-arm medium
139,Lauren Kaye Ebsary,LK Ebsary,AUS-W,17,28.71,2,192.0,43.00,4.03,64.0,Right-hand bat,Right-arm medium
140,Sophie Ecclestone,S Ecclestone,ENG-W,16,6.90,0,-,-,-,-,Right-hand bat,Slow left-arm orthodox
141,Charlotte Marie Edwards,CM Edwards,ENG-W,143,38.31,40,1391.0,41.00,4.24,57.9,Right-hand bat,Legbreak
142,Lotte Egging,L Egging,NL-W,9,3.83,0,1843.0000000000002,49.80,3.40,87.7,Right-hand bat,Right-arm medium-fast
143,Ekanayake Mudiyanselage Thanuga Priyadarshani Ekanayake,EMTP Ekanayake,SL-W,15,6.71,0,354.0,62.00,3.15,118.0,Right-hand bat,-
144,Cindy Elizabeth Eksteen,CE Eksteen,SA-W,6,18.75,0,-,-,-,-,Right-hand bat,Right-arm fast-medium
145,Elizebath Khan,Elizebath Khan,PAK-W,-,-,-,-,-,-,-,Right-hand bat,Right-arm fast-medium
146,Sarah Jane Elliott,SJ Elliott,AUS-W,16,32.00,4,18.0,-,4.00,-,Right-hand bat,Legbreak googly
147,Georgia Amanda Elwiss,GA Elwiss,ENG-W,24,20.42,2,4838.0,40.86,3.44,71.1,Right-hand bat,Right-arm medium-fast
148,Pearl Sharlin Etienne,PS Etienne,WI-W,6,7.00,0,1695.0,27.62,2.34,70.6,Right-hand bat,Right-arm medium
149,Avril Joy Fahey,AJ Fahey,AUS-W,1,-,0,-,-,-,-,Right-hand bat,Right-arm offbreak
150,Maria Frances Fahey,MF Fahey,NZ-W,53,27.50,14,492.0,38.57,3.29,70.2,Left-hand bat,Right-arm offbreak
151,Fahima Khatun,Fahima Khatun,BD-W,13,6.09,0,246.0,162.00,3.95,246.0,Right-hand bat,Legbreak
152,Fargana Hoque,Fargana Hoque,BD-W,36,21.52,6,1806.0,46.00,3.20,86.0,Right-hand bat,-
153,Natasha Eleni Farrant,NE Farrant,ENG-W,1,-,0,342.0,62.66,3.29,114.0,Left-hand bat,Left-arm medium
154,Rene Michele Farrell,RM Farrell,AUS-W,20,18.20,0,248.00000000000003,37.66,2.73,82.6,Right-hand bat,Right-arm fast-medium
155,Fatima Sana,Fatima Sana,PAK-W,1,1.00,0,-,-,-,-,Right-hand bat,Right-arm medium
156,Verena Marcelle Felicien,VM Felicien,WI-W,25,18.81,0,5146.0,23.86,2.61,54.7,Right-hand bat,Right-arm offbreak
157,Holly Lee Ferling,HL Ferling,AUS-W,6,3.00,0,2435.0,38.19,2.91,78.5,Right-hand bat,Right-arm fast-medium
158,Sirikkattuduwage Inoshi Priyadharshani Fernando,SIP Fernando,SL-W,10,5.60,0,174.0,15.00,2.06,43.5,Right-hand bat,Right-arm offbreak
159,Wannakawatiawadune Hiruka Dilani Fernando,WHD Fernando,SL-W,39,24.56,2,1905.0,59.88,3.20,112.0,Left-hand bat,Slow left-arm orthodox
160,Warnakula Jayasuriya Gunawardene Sellapperumage Sumudu Isari Fernando,WJGSSI Fernando,SL-W,2,2.50,0,6286.000000000001,33.76,3.15,64.1,Right-hand bat,Right-arm medium
161,Warnakolasooriya Rose Priyanka Fernando,WRP Fernando,SL-W,14,9.83,0,6091.0,31.46,2.85,66.2,Right-hand bat,Right-arm offbreak
162,Jodie Maree Fields,JM Fields,AUS-W,50,28.34,5,-,-,-,-,Right-hand bat,-
163,Cathryn Lorraine Fitzpatrick,CL Fitzpatrick,AUS-W,40,19.55,0,18.0,7.00,2.33,18.0,Right-hand bat,Right-arm fast
164,Emma Louise Carolyn Flanagan,ELC Flanagan,IRE-W,8,4.00,0,12.0,-,8.00,-,Right-hand bat,Right-arm offbreak
165,Paula Bernadette Flannery,PB Flannery,NZ-W,11,13.36,0,648.0,37.83,2.10,108.0,Right-hand bat,Right-arm offbreak
166,Afy Samantha Sharlyn Fletcher,ASS Fletcher,WI-W,39,8.53,0,1056.0,41.76,3.08,81.2,Right-hand bat,Legbreak
167,Yolani Fourie,Y Fourie,SA-W,8,8.60,0,807.0000000000001,29.15,2.81,62.0,Right-hand bat,Right-arm offbreak
168,Doris Francis,D Francis,WI-W,12,7.36,0,276.0,98.00,4.26,138.0,Right-hand bat,Right-arm medium
169,Fiona Elizabeth Fraser,FE Fraser,NZ-W,3,94.00,1,-,-,-,-,Right-hand bat,Right-arm medium
170,Shandre Alvida Fritz,SA Fritz,SA-W,51,21.31,5,-,-,-,-,Right-hand bat,Right-arm medium
171,Aya Fujishiro,A Fujishiro,JPN-W,4,1.50,0,3668.9999999999995,46.52,3.80,73.3,Right-hand bat,Right-arm medium-fast
172,Shabika Gajnabi,S Gajnabi,WI-W,4,8.50,0,288.0,193.00,4.02,288.0,-,-
173,Sajeewani Inoka Galagedara,SI Galagedara,SL-W,35,7.02,1,-,-,-,-,Right-hand bat,Right-arm fast-medium
174,Aileen Martina Galvin,AM Galvin,SCO-W,5,1.00,0,-,-,-,-,Right-hand bat,Right-arm bowler
175,Ashleigh Gardner,A Gardner,AUS-W,21,21.37,2,4214.0,45.68,3.70,73.9,Right-hand bat,Right-arm offbreak
176,Kimberley Jennifer Garth,KJ Garth,IRE-W,30,17.92,2,684.0,26.80,2.35,68.4,Right-hand bat,Right-arm medium-fast
177,Rajeshwari Shivanand Gayakwad,RS Gayakwad,IND-W,12,3.25,0,2854.0,31.91,2.41,79.2,Right-hand bat,Slow left-arm orthodox
178,Valmai Gee,V Gee,IRE-W,-,-,-,84.0,54.00,3.85,84.0,Right-hand bat,-
179,Katie Louise George,KL George,ENG-W,1,9.00,0,-,-,-,-,Left-hand bat,Left-arm medium
180,Nadine Andrea Julietta George,NAJ George,WI-W,40,16.81,1,-,-,-,-,Left-hand bat,-
181,Evelien Gerrits,E Gerrits,NL-W,3,11.00,0,1976.0,40.14,3.29,73.1,Right-hand bat,Right-arm medium-fast
182,Ghulam Fatima,Ghulam Fatima,PAK-W,1,-,0,6761.0,21.82,2.76,47.2,Right-hand bat,Legbreak
183,Erva Minerva Giddings,EM Giddings,WI-W,2,4.00,0,2326.0,31.82,3.28,58.1,Left-hand bat,Right-arm fast-medium
184,Sarah Glenn,S Glenn,ENG-W,-,-,-,396.0,100.00,3.03,198.0,Right-hand bat,Legbreak
185,Mandie Claire Godliman,MC Godliman,ENG-W,8,7.14,0,438.0,49.80,3.41,87.6,-,-
186,Lara Goodall,L Goodall,SA-W,14,15.14,1,1385.0,24.81,3.54,41.9,Left-hand bat,Right-arm medium
187,Indomatie Goordial-John,I Goordial-John,WI-W,6,10.00,0,17151.0,34.49,3.10,66.7,Right-hand bat,Right-arm offbreak
188,Jhulan Nishit Goswami,J Goswami,IND-W,105,14.15,1,48.0,-,3.50,-,Right-hand bat,Right-arm medium
189,Michelle Ann Jane Goszko,MAJ Goszko,AUS-W,22,23.57,0,-,-,-,-,Right-hand bat,Right-arm medium
190,Clare Elizabeth Gough,CE Gough,ENG-W,1,1.00,0,252.0,23.40,2.78,50.4,-,-
191,Bindeshwari Goyal,B Goyal,IND-W,1,-,0,526.0,42.57,3.39,75.1,Right-hand bat,Right-arm offbreak
192,Rajeshwari Rameshwar Goyal,RR Goyal,IND-W,2,2.00,0,1116.0,61.54,3.63,101.4,Right-hand bat,Right-arm offbreak
193,Heather Graham,H Graham,AUS-W,1,-,0,102.0,-,4.35,-,Right-hand bat,Right-arm medium-fast
194,Jennifer Gray,J Gray,IRE-W,9,17.50,0,216.0,30.66,2.55,72.0,Right-hand bat,Right-arm medium
195,Miriam Elizabeth Grealey,ME Grealey,IRE-W,22,20.15,2,3683.0,31.63,2.42,78.3,Right-hand bat,Right-arm offbreak
196,Geneille Emekia Greaves,GE Greaves,WI-W,9,3.88,0,-,-,-,-,Right-hand bat,Right-arm offbreak
197,Amanda Jayne Green,AJ Green,NZ-W,8,7.66,0,448.00000000000006,30.77,3.70,49.7,Right-hand bat,Right-arm medium
198,Madeline Lee Green,ML Green,NZ-W,25,18.87,1,390.0,109.50,3.36,195.0,Right-hand bat,Right-arm offbreak
199,Lydia Sophie Greenway,LS Greenway,ENG-W,111,30.04,12,1503.0,29.70,2.84,62.6,Left-hand bat,Right-arm offbreak
fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Lauren Patricia Griffiths,LP Griffiths,ENG-W,2,11.00,0,1957.0000000000002,51.95,3.34,93.1,Right-hand bat,-
1,Sheneta Shanata Grimmond,SS Grimmond,WI-W,4,24.00,0,279.0,58.50,2.51,139.5,Right-hand bat,Right-arm offbreak
2,Rebecca Louise Grundy,RL Grundy,ENG-W,3,3.00,0,432.0,19.00,2.90,39.2,Left-hand bat,Slow left-arm orthodox
3,Isa Tara Guha,IT Guha,ENG-W,32,8.71,0,204.0,52.00,3.05,102.0,Right-hand bat,Right-arm fast-medium
4,Hewa Hakuru Chandima Gunaratne,HHC Gunaratne,SL-W,13,8.80,0,426.0,31.00,2.61,71.0,Left-hand bat,Slow left-arm orthodox
5,BA Thalika Nilimi Gunaratne,TN Gunaratne,SL-W,7,4.33,0,1764.0,58.21,2.77,126.0,Right-hand bat,Slow left-arm orthodox
6,Madampala Gunarathna Mudiyanselage Chathurani Prithimali Gunawardene,MGMCP Gunawardene,SL-W,2,12.00,0,54.0,-,2.00,-,Left-hand bat,Right-arm medium-fast
7,Jennifer Louise Gunn,JL Gunn,ENG-W,111,19.62,5,96.0,-,4.18,-,Right-hand bat,Right-arm medium-fast
8,Shilpa Dayanand Gupta,SD Gupta,IND-W,1,4.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
