fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
139,Sonia Balu Odedra,SB Odedra,ENG-W,2,1.00,0,192.0,43.00,4.03,64.0,Right-hand bat,Right-arm medium-fast
140,Erin Alyse Osborne,EA Osborne,AUS-W,4,39.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
141,Devika Palshikar,D Palshikar,IND-W,2,3.50,0,1391.0,41.00,4.24,57.9,Right-hand bat,Right-arm medium
142,Shikha Subas Pandey,S Pandey,IND-W,3,37.00,0,1843.0000000000002,49.80,3.40,87.7,Right-hand bat,Right-arm medium
143,Sunetra Arun Paranjpe,SA Paranjpe,IND-W,4,11.00,0,354.0,62.00,3.15,118.0,Right-hand bat,Right-arm medium
144,Lucy Charlotte Pearson,LC Pearson,ENG-W,11,3.50,0,-,-,-,-,Right-hand bat,Left-arm fast
145,Ellyse Alexandra Perry,EA Perry,AUS-W,13,78.00,2,-,-,-,-,Right-hand bat,Right-arm fast-medium
146,Kirsten Elizabeth Pike,KE Pike,AUS-W,2,7.00,0,18.0,-,4.00,-,Right-hand bat,Right-arm fast-medium
147,Poonam Yadav,Poonam Yadav,IND-W,-,-,-,4838.0,40.86,3.44,71.1,Right-hand bat,Legbreak googly
148,Leah Joy Poulton,LJ Poulton,AUS-W,3,15.00,0,1695.0,27.62,2.34,70.6,Right-hand bat,Legbreak googly
149,Stephanie Judith Power,SJ Power,WI-W,2,38.00,1,-,-,-,-,Right-hand bat,-
150,Julia Clare Price,JC Price,AUS-W,9,5.00,0,492.0,38.57,3.29,70.2,Right-hand bat,-
151,Katherine Louise Pulford,KL Pulford,NZ-W,2,0.00,0,246.0,162.00,3.95,246.0,Right-hand bat,Right-arm medium
152,Mithali Dorai Raj,M Raj,IND-W,16,51.00,4,1806.0,46.00,3.20,86.0,Right-hand bat,Legbreak
153,Helmien W Rambaldo,HW Rambaldo,NL-W,2,9.00,0,342.0,62.66,3.29,114.0,Right-hand bat,Right-arm medium
154,Punam Ganesh Raut,PG Raut,IND-W,3,48.66,0,248.00000000000003,37.66,2.73,82.6,Right-hand bat,Right-arm offbreak
155,Asha Rawat,A Rawat,IND-W,1,9.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
156,Denise Joanne Reid,DJ Reid,SA-W,2,50.00,0,5146.0,23.86,2.61,54.7,Left-hand bat,Right-arm fast-medium
157,Jacqueline Robinson,J Robinson,WI-W,2,32.50,1,2435.0,38.19,2.91,78.5,Right-hand bat,Right-arm medium-fast
158,Rebecca Jane Rolls,RJ Rolls,NZ-W,2,71.00,1,174.0,15.00,2.06,43.5,Right-hand bat,-
159,Karen Louise Rolton,KL Rolton,AUS-W,16,43.57,3,1905.0,59.88,3.20,112.0,Left-hand bat,Left-arm medium
160,Sadia Bano Butt,Sadia Butt,PAK-W,2,-,0,6286.000000000001,33.76,3.15,64.1,-,-
161,Sajjida Bibi Shah,Sajjida Shah,PAK-W,1,98.00,1,6091.0,31.46,2.85,66.2,Right-hand bat,Right-arm offbreak
162,Emma Margaret Sampson,EM Sampson,AUS-W,2,-,0,-,-,-,-,Right-hand bat,Right-arm fast-medium
163,Megan Schutt,M Schutt,AUS-W,2,12.00,0,18.0,7.00,2.33,18.0,Right-hand bat,Right-arm fast-medium
164,Natalie Ruth Sciver,NR Sciver,ENG-W,8,28.50,1,12.0,-,8.00,-,Right-hand bat,Right-arm medium
165,Natalee Scripps,N Scripps,NZ-W,1,-,0,648.0,37.83,2.10,108.0,Right-hand bat,Right-arm medium
166,Shabana Latif,Shabana Latif,PAK-W,-,-,-,1056.0,41.76,3.08,81.2,Right-hand bat,-
167,Shaiza Said Khan,Shaiza Khan,PAK-W,1,35.00,0,807.0000000000001,29.15,2.81,62.0,Right-hand bat,Legbreak
168,Amita Sharma,A Sharma,IND-W,7,13.66,1,276.0,98.00,4.26,138.0,Right-hand bat,Right-arm medium-fast
169,Jaya Sharma,J Sharma,IND-W,1,24.00,0,-,-,-,-,Left-hand bat,Right-arm medium
170,Shubhlakshmi Rajendra Sharma,S Sharma,IND-W,1,4.00,0,-,-,-,-,Right-hand bat,Right-arm medium
171,Nicola Jayne Shaw,NJ Shaw,ENG-W,7,6.85,0,3668.9999999999995,46.52,3.80,73.3,Right-hand bat,Right-arm fast-medium
172,Amrita Pratapsinh Shinde,AP Shinde,IND-W,1,29.00,0,288.0,193.00,4.02,288.0,Right-hand bat,Legbreak
173,Anya Shrubsole,A Shrubsole,ENG-W,9,6.88,0,-,-,-,-,Right-hand bat,Right-arm medium
174,Sunita Singh,S Singh,IND-W,2,6.00,0,-,-,-,-,Right-hand bat,Right-arm medium
175,Jane Smit,J Smit,ENG-W,13,18.70,1,4214.0,45.68,3.70,73.9,Right-hand bat,-
176,Alicia Ester Smith,AE Smith,SA-W,5,28.66,0,684.0,26.80,2.35,68.4,Right-hand bat,Right-arm fast-medium
177,Clea Rosemary Smith,CR Smith,AUS-W,2,23.00,0,2854.0,31.91,2.41,79.2,Right-hand bat,Right-arm medium
178,Laura Spragg,L Spragg,ENG-W,1,2.00,0,84.0,54.00,3.85,84.0,Left-hand bat,Left-arm medium
179,Rebecca Jayne Steele,RJ Steele,NZ-W,3,5.33,0,-,-,-,-,Right-hand bat,"Left-arm medium, Slow left-arm orthodox"
180,Lisa Carprini Sthalekar,LC Sthalekar,AUS-W,15,32.00,2,-,-,-,-,Right-hand bat,Right-arm offbreak
181,Monica Sumra,M Sumra,IND-W,6,10.16,0,1976.0,40.14,3.29,73.1,Right-hand bat,Legbreak
182,Anne-Maria Suzanne Tanke,AS Tanke,NL-W,2,0.00,0,6761.0,21.82,2.76,47.2,Right-hand bat,Legbreak
183,Clare Elizabeth Taylor,CE Taylor,ENG-W,10,12.62,0,2326.0,31.82,3.28,58.1,Right-hand bat,Right-arm medium
184,Samantha Claire Taylor,SC Taylor,ENG-W,25,44.30,2,396.0,100.00,3.03,198.0,Right-hand bat,-
185,Sarah Jane Taylor,SJ Taylor,ENG-W,17,18.75,0,438.0,49.80,3.41,87.6,Right-hand bat,-
186,Claire Simone Terblanche,CS Terblanche,SA-W,2,28.00,0,1385.0,24.81,3.54,41.9,Right-hand bat,Right-arm offbreak
187,Magdalena Terblanche,M Terblanche,SA-W,7,26.57,1,17151.0,34.49,3.10,66.7,Right-hand bat,-
188,Nonkululeko Peaceful Thabethe,NP Thabethe,SA-W,2,1.00,0,48.0,-,3.50,-,Right-hand bat,Right-arm medium
189,Haidee Maree Tiffen,HM Tiffen,NZ-W,4,124.00,1,-,-,-,-,Right-hand bat,Right-arm medium
190,Chloe-Lesleigh  Tryon,CL Tryon,SA-W,2,30.00,0,252.0,23.40,2.78,50.4,Right-hand bat,Slow left-arm orthodox
191,Urooj Mumtaz Khan,Urooj Mumtaz,PAK-W,1,0.00,0,526.0,42.57,3.39,75.1,Right-hand bat,Legbreak
192,Yulandi van der Merwe,Y van der Merwe,SA-W,6,15.80,1,1116.0,61.54,3.63,101.4,Right-hand bat,Right-arm medium-fast
193,Charlize van der Westhuizen,C van der Westhuizen,SA-W,4,39.75,1,102.0,-,4.35,-,Right-hand bat,Slow left-arm orthodox
194,Dane van Niekerk,D van Niekerk,SA-W,2,11.00,0,216.0,30.66,2.55,72.0,Right-hand bat,Legbreak
195,Sune Susanna Deborah van Zyl,SSD van Zyl,SA-W,4,19.33,0,3683.0,31.63,2.42,78.3,-,-
196,Sushma Verma Devi,S Verma,IND-W,-,-,-,-,-,-,-,Right-hand bat,-
197,Sunette Viljoen,S Viljoen,SA-W,2,44.00,1,448.00000000000006,30.77,3.70,49.7,Right-hand bat,Right-arm medium
198,Elyse Jane Villani,EJ Villani,AUS-W,5,14.40,0,390.0,109.50,3.36,195.0,Right-hand bat,Right-arm fast-medium
199,Tayla Jade Vlaeminck,TJ Vlaeminck,AUS-W,-,-,-,1503.0,29.70,2.84,62.6,Right-hand bat,Right-arm medium
fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Helen Anna Wardlaw,HA Wardlaw,ENG-W,3,18.66,0,1957.0000000000002,51.95,3.34,93.1,Right-hand bat,Right-arm offbreak
1,Aimee Louise Watkins,AL Watkins,NZ-W,2,7.50,0,279.0,58.50,2.51,139.5,Left-hand bat,Right-arm offbreak
2,Violet Cornelia Elizabeth Wattenberg,VCE Wattenberg,NL-W,2,26.00,0,432.0,19.00,2.90,39.2,Right-hand bat,-
3,Amanda-Jade Wellington,A Wellington,AUS-W,1,2.00,0,204.0,52.00,3.05,102.0,Right-hand bat,Legbreak
4,Envis Rebecca Williams,ER Williams,WI-W,2,12.00,0,426.0,31.00,2.61,71.0,-,-
5,Frances Claire Wilson,FC Wilson,ENG-W,1,13.00,0,1764.0,58.21,2.77,126.0,Right-hand bat,Right-arm offbreak
6,Lauren Winfield,L Winfield,ENG-W,6,15.66,0,54.0,-,2.00,-,Right-hand bat,-
