urlEnd,Team1,Team2,Venue,Country,StartDate
534226,ENG,RSA,Leeds,ENG,2 Aug 2012
534227,ENG,RSA,Lord's,ENG,16 Aug 2012
566921,ENG,NZL,Lord's,ENG,16 May 2013
566922,ENG,NZL,Leeds,ENG,24 May 2013
566932,ENG,AUS,Nottingham,ENG,10 Jul 2013
566933,ENG,AUS,Lord's,ENG,18 Jul 2013
566934,ENG,AUS,Manchester,ENG,1 Aug 2013
566935,ENG,AUS,Chester-le-Street,ENG,9 Aug 2013
566936,ENG,AUS,The Oval,ENG,21 Aug 2013
667899,ENG,SRL,Lord's,ENG,12 Jun 2014
667901,ENG,SRL,Leeds,ENG,20 Jun 2014
667711,ENG,IND,Nottingham,ENG,9 Jul 2014
667713,ENG,IND,Lord's,ENG,17 Jul 2014
667715,ENG,IND,Southampton,ENG,27 Jul 2014
667717,ENG,IND,Manchester,ENG,7 Aug 2014
667719,ENG,IND,The Oval,ENG,15 Aug 2014
743939,ENG,NZL,Lord's,ENG,21 May 2015
743941,ENG,NZL,Leeds,ENG,29 May 2015
743963,ENG,AUS,Cardiff,ENG,8 Jul 2015
743965,ENG,AUS,Lord's,ENG,16 Jul 2015
743967,ENG,AUS,Birmingham,ENG,29 Jul 2015
743969,ENG,AUS,Nottingham,ENG,6 Aug 2015
743971,ENG,AUS,The Oval,ENG,20 Aug 2015
913613,ENG,SRL,Leeds,ENG,19 May 2016
913615,ENG,SRL,Chester-le-Street,ENG,27 May 2016
913617,ENG,SRL,Lord's,ENG,9 Jun 2016
913641,ENG,PAK,Lord's,ENG,14 Jul 2016
913643,ENG,PAK,Manchester,ENG,22 Jul 2016
913645,ENG,PAK,Birmingham,ENG,3 Aug 2016
913647,ENG,PAK,The Oval,ENG,11 Aug 2016
1031437,ENG,RSA,Lord's,ENG,6 Jul 2017
1031439,ENG,RSA,Nottingham,ENG,14 Jul 2017
1031441,ENG,RSA,The Oval,ENG,27 Jul 2017
1031443,ENG,RSA,Manchester,ENG,4 Aug 2017
1031659,ENG,WIN,Birmingham,ENG,17 Aug 2017
1031661,ENG,WIN,Leeds,ENG,25 Aug 2017
1031663,ENG,WIN,Lord's,ENG,7 Sep 2017
1119535,ENG,PAK,Lord's,ENG,24 May 2018
1119536,ENG,PAK,Leeds,ENG,1 Jun 2018
1119549,ENG,IND,Birmingham,ENG,1 Aug 2018
1119550,ENG,IND,Lord's,ENG,9 Aug 2018
1119551,ENG,IND,Nottingham,ENG,18 Aug 2018
1119552,ENG,IND,Southampton,ENG,30 Aug 2018
1119553,ENG,IND,The Oval,ENG,7 Sep 2018
1152839,ENG,IRE,Lord's,ENG,24 Jul 2019
1152846,ENG,AUS,Birmingham,ENG,1 Aug 2019
1152847,ENG,AUS,Lord's,ENG,14 Aug 2019
1152848,ENG,AUS,Leeds,ENG,22 Aug 2019
1152849,ENG,AUS,Manchester,ENG,4 Sep 2019
1152850,ENG,AUS,The Oval,ENG,12 Sep 2019
63911,AUS,WIN,Sydney,AUS,2 Jan 2001
63953,AUS,NZL,Brisbane,AUS,8 Nov 2001
63954,AUS,NZL,Hobart,AUS,22 Nov 2001
63955,AUS,NZL,Perth,AUS,30 Nov 2001
63964,AUS,RSA,Adelaide,AUS,14 Dec 2001
63965,AUS,RSA,Melbourne,AUS,26 Dec 2001
63966,AUS,RSA,Sydney,AUS,2 Jan 2002
64009,AUS,ENG,Brisbane,AUS,7 Nov 2002
64010,AUS,ENG,Adelaide,AUS,21 Nov 2002
64011,AUS,ENG,Perth,AUS,29 Nov 2002
64012,AUS,ENG,Melbourne,AUS,26 Dec 2002
64013,AUS,ENG,Sydney,AUS,2 Jan 2003
64036,AUS,BAN,Darwin,AUS,18 Jul 2003
64037,AUS,BAN,Cairns,AUS,25 Jul 2003
64048,AUS,ZIM,Perth,AUS,9 Oct 2003
64049,AUS,ZIM,Sydney,AUS,17 Oct 2003
64059,AUS,IND,Brisbane,AUS,4 Dec 2003
64060,AUS,IND,Adelaide,AUS,12 Dec 2003
64061,AUS,IND,Melbourne,AUS,26 Dec 2003
64062,AUS,IND,Sydney,AUS,2 Jan 2004
64091,AUS,SRL,Darwin,AUS,1 Jul 2004
64092,AUS,SRL,Cairns,AUS,9 Jul 2004
64107,AUS,NZL,Brisbane,AUS,18 Nov 2004
64108,AUS,NZL,Adelaide,AUS,26 Nov 2004
64113,AUS,PAK,Perth,AUS,16 Dec 2004
64114,AUS,PAK,Melbourne,AUS,26 Dec 2004
64115,AUS,PAK,Sydney,AUS,2 Jan 2005
221840,AUS,ICC,Sydney,AUS,14 Oct 2005
223889,AUS,WIN,Brisbane,AUS,3 Nov 2005
226120,AUS,WIN,Hobart,AUS,17 Nov 2005
226348,AUS,WIN,Adelaide,AUS,25 Nov 2005
226371,AUS,RSA,Perth,AUS,16 Dec 2005
226372,AUS,RSA,Melbourne,AUS,26 Dec 2005
226373,AUS,RSA,Sydney,AUS,2 Jan 2006
249222,AUS,ENG,Brisbane,AUS,23 Nov 2006
249223,AUS,ENG,Adelaide,AUS,1 Dec 2006
249224,AUS,ENG,Perth,AUS,14 Dec 2006
249225,AUS,ENG,Melbourne,AUS,26 Dec 2006
249226,AUS,ENG,Sydney,AUS,2 Jan 2007
291338,AUS,SRL,Brisbane,AUS,8 Nov 2007
291339,AUS,SRL,Hobart,AUS,16 Nov 2007
291351,AUS,IND,Melbourne,AUS,26 Dec 2007
291352,AUS,IND,Sydney,AUS,2 Jan 2008
291353,AUS,IND,Perth,AUS,16 Jan 2008
291354,AUS,IND,Adelaide,AUS,24 Jan 2008
351679,AUS,NZL,Brisbane,AUS,20 Nov 2008
351680,AUS,NZL,Adelaide,AUS,28 Nov 2008
351681,AUS,RSA,Perth,AUS,17 Dec 2008
351682,AUS,RSA,Melbourne,AUS,26 Dec 2008
351683,AUS,RSA,Sydney,AUS,3 Jan 2009
406189,AUS,WIN,Brisbane,AUS,26 Nov 2009
406190,AUS,WIN,Adelaide,AUS,4 Dec 2009
406191,AUS,WIN,Perth,AUS,16 Dec 2009
406199,AUS,PAK,Melbourne,AUS,26 Dec 2009
406200,AUS,PAK,Sydney,AUS,3 Jan 2010
406201,AUS,PAK,Hobart,AUS,14 Jan 2010
428749,AUS,ENG,Brisbane,AUS,25 Nov 2010
428750,AUS,ENG,Adelaide,AUS,3 Dec 2010
428751,AUS,ENG,Perth,AUS,16 Dec 2010
428752,AUS,ENG,Melbourne,AUS,26 Dec 2010
428753,AUS,ENG,Sydney,AUS,3 Jan 2011
518947,AUS,NZL,Brisbane,AUS,1 Dec 2011
518948,AUS,NZL,Hobart,AUS,9 Dec 2011
518950,AUS,IND,Melbourne,AUS,26 Dec 2011
518951,AUS,IND,Sydney,AUS,3 Jan 2012
518952,AUS,IND,Perth,AUS,13 Jan 2012
518953,AUS,IND,Adelaide,AUS,24 Jan 2012
573007,AUS,RSA,Brisbane,AUS,9 Nov 2012
573008,AUS,RSA,Adelaide,AUS,22 Nov 2012
573009,AUS,RSA,Perth,AUS,30 Nov 2012
573011,AUS,SRL,Hobart,AUS,14 Dec 2012
573012,AUS,SRL,Melbourne,AUS,26 Dec 2012
573013,AUS,SRL,Sydney,AUS,3 Jan 2013
592397,AUS,ENG,Brisbane,AUS,21 Nov 2013
592398,AUS,ENG,Adelaide,AUS,5 Dec 2013
592399,AUS,ENG,Perth,AUS,13 Dec 2013
592400,AUS,ENG,Melbourne,AUS,26 Dec 2013
592401,AUS,ENG,Sydney,AUS,3 Jan 2014
754737,AUS,IND,Adelaide,AUS,9 Dec 2014
754739,AUS,IND,Brisbane,AUS,17 Dec 2014
754741,AUS,IND,Melbourne,AUS,26 Dec 2014
754743,AUS,IND,Sydney,AUS,6 Jan 2015
892509,AUS,NZL,Brisbane,AUS,5 Nov 2015
892511,AUS,NZL,Perth,AUS,13 Nov 2015
892513,AUS,NZL,Adelaide,AUS,27 Nov 2015
892515,AUS,WIN,Hobart,AUS,10 Dec 2015
892517,AUS,WIN,Melbourne,AUS,26 Dec 2015
892519,AUS,WIN,Sydney,AUS,3 Jan 2016
1000851,AUS,RSA,Perth,AUS,3 Nov 2016
1000853,AUS,RSA,Hobart,AUS,12 Nov 2016
1000855,AUS,RSA,Adelaide,AUS,24 Nov 2016
1000881,AUS,PAK,Brisbane,AUS,15 Dec 2016
1000883,AUS,PAK,Melbourne,AUS,26 Dec 2016
1000885,AUS,PAK,Sydney,AUS,3 Jan 2017
1072305,AUS,ENG,Brisbane,AUS,23 Nov 2017
1072306,AUS,ENG,Adelaide,AUS,2 Dec 2017
1072307,AUS,ENG,Perth,AUS,14 Dec 2017
1072308,AUS,ENG,Melbourne,AUS,26 Dec 2017
1072309,AUS,ENG,Sydney,AUS,4 Jan 2018
1144993,AUS,IND,Adelaide,AUS,6 Dec 2018
1144994,AUS,IND,Perth,AUS,14 Dec 2018
1144995,AUS,IND,Melbourne,AUS,26 Dec 2018
1144996,AUS,IND,Sydney,AUS,3 Jan 2019
1145000,AUS,SRL,Brisbane,AUS,24 Jan 2019
1145001,AUS,SRL,Canberra,AUS,1 Feb 2019
1183530,AUS,PAK,Brisbane,AUS,21 Nov 2019
1183531,AUS,PAK,Adelaide,AUS,29 Nov 2019
1183532,AUS,NZL,Perth,AUS,12 Dec 2019
1183533,AUS,NZL,Melbourne,AUS,26 Dec 2019
1183534,AUS,NZL,Sydney,AUS,3 Jan 2020
63914,RSA,SRL,Cape Town,RSA,2 Jan 2001
63915,RSA,SRL,Centurion,RSA,20 Jan 2001
63951,RSA,IND,Bloemfontein,RSA,3 Nov 2001
63952,RSA,IND,Port Elizabeth,RSA,16 Nov 2001
63978,RSA,AUS,Johannesburg,RSA,22 Feb 2002
63979,RSA,AUS,Cape Town,RSA,8 Mar 2002
63980,RSA,AUS,Durban,RSA,15 Mar 2002
64007,RSA,BAN,East London,RSA,18 Oct 2002
64008,RSA,BAN,Potchefstroom,RSA,25 Oct 2002
64014,RSA,SRL,Johannesburg,RSA,8 Nov 2002
64015,RSA,SRL,Centurion,RSA,15 Nov 2002
64022,RSA,PAK,Durban,RSA,26 Dec 2002
64023,RSA,PAK,Cape Town,RSA,2 Jan 2003
64063,RSA,WIN,Johannesburg,RSA,12 Dec 2003
64064,RSA,WIN,Durban,RSA,26 Dec 2003
64065,RSA,WIN,Cape Town,RSA,2 Jan 2004
64066,RSA,WIN,Centurion,RSA,16 Jan 2004
64116,RSA,ENG,Port Elizabeth,RSA,17 Dec 2004
64117,RSA,ENG,Durban,RSA,26 Dec 2004
64118,RSA,ENG,Cape Town,RSA,2 Jan 2005
64119,RSA,ENG,Johannesburg,RSA,13 Jan 2005
64120,RSA,ENG,Centurion,RSA,21 Jan 2005
64123,RSA,ZIM,Cape Town,RSA,4 Mar 2005
64124,RSA,ZIM,Centurion,RSA,11 Mar 2005
238201,RSA,AUS,Cape Town,RSA,16 Mar 2006
238202,RSA,AUS,Durban,RSA,24 Mar 2006
238203,RSA,AUS,Johannesburg,RSA,31 Mar 2006
238205,RSA,NZL,Centurion,RSA,15 Apr 2006
238206,RSA,NZL,Cape Town,RSA,27 Apr 2006
238207,RSA,NZL,Johannesburg,RSA,5 May 2006
249215,RSA,IND,Johannesburg,RSA,15 Dec 2006
249216,RSA,IND,Durban,RSA,26 Dec 2006
249217,RSA,IND,Cape Town,RSA,2 Jan 2007
250665,RSA,PAK,Centurion,RSA,11 Jan 2007
250666,RSA,PAK,Port Elizabeth,RSA,19 Jan 2007
250667,RSA,PAK,Cape Town,RSA,26 Jan 2007
298793,RSA,NZL,Johannesburg,RSA,8 Nov 2007
298794,RSA,NZL,Centurion,RSA,16 Nov 2007
298801,RSA,WIN,Port Elizabeth,RSA,26 Dec 2007
298802,RSA,WIN,Cape Town,RSA,2 Jan 2008
298803,RSA,WIN,Durban,RSA,10 Jan 2008
350345,RSA,BAN,Bloemfontein,RSA,19 Nov 2008
350346,RSA,BAN,Centurion,RSA,26 Nov 2008
350472,RSA,AUS,Johannesburg,RSA,26 Feb 2009
350473,RSA,AUS,Durban,RSA,6 Mar 2009
350474,RSA,AUS,Cape Town,RSA,19 Mar 2009
387570,RSA,ENG,Centurion,RSA,16 Dec 2009
387571,RSA,ENG,Durban,RSA,26 Dec 2009
387572,RSA,ENG,Cape Town,RSA,3 Jan 2010
387573,RSA,ENG,Johannesburg,RSA,14 Jan 2010
463146,RSA,IND,Centurion,RSA,16 Dec 2010
463147,RSA,IND,Durban,RSA,26 Dec 2010
463148,RSA,IND,Cape Town,RSA,2 Jan 2011
514029,RSA,AUS,Cape Town,RSA,9 Nov 2011
514030,RSA,AUS,Johannesburg,RSA,17 Nov 2011
514032,RSA,SRL,Centurion,RSA,15 Dec 2011
514033,RSA,SRL,Durban,RSA,26 Dec 2011
514034,RSA,SRL,Cape Town,RSA,3 Jan 2012
567356,RSA,NZL,Cape Town,RSA,2 Jan 2013
567357,RSA,NZL,Port Elizabeth,RSA,11 Jan 2013
567363,RSA,PAK,Johannesburg,RSA,1 Feb 2013
567364,RSA,PAK,Cape Town,RSA,14 Feb 2013
567365,RSA,PAK,Centurion,RSA,22 Feb 2013
648665,RSA,IND,Johannesburg,RSA,18 Dec 2013
648667,RSA,IND,Durban,RSA,26 Dec 2013
648673,RSA,AUS,Centurion,RSA,12 Feb 2014
648675,RSA,AUS,Port Elizabeth,RSA,20 Feb 2014
648677,RSA,AUS,Cape Town,RSA,1 Mar 2014
722329,RSA,WIN,Centurion,RSA,17 Dec 2014
722331,RSA,WIN,Port Elizabeth,RSA,26 Dec 2014
722333,RSA,WIN,Cape Town,RSA,2 Jan 2015
800461,RSA,ENG,Durban,RSA,26 Dec 2015
800463,RSA,ENG,Cape Town,RSA,2 Jan 2016
800465,RSA,ENG,Johannesburg,RSA,14 Jan 2016
800467,RSA,ENG,Centurion,RSA,22 Jan 2016
936127,RSA,NZL,Durban,RSA,19 Aug 2016
936129,RSA,NZL,Centurion,RSA,27 Aug 2016
936147,RSA,SRL,Port Elizabeth,RSA,26 Dec 2016
936149,RSA,SRL,Cape Town,RSA,2 Jan 2017
936151,RSA,SRL,Johannesburg,RSA,12 Jan 2017
1075502,RSA,BAN,Potchefstroom,RSA,28 Sep 2017
1075503,RSA,BAN,Bloemfontein,RSA,6 Oct 2017
1122310,RSA,ZIM,Port Elizabeth,RSA,26 Dec 2017
1122276,RSA,IND,Cape Town,RSA,5 Jan 2018
1122277,RSA,IND,Centurion,RSA,13 Jan 2018
1122278,RSA,IND,Johannesburg,RSA,24 Jan 2018
1075982,RSA,AUS,Durban,RSA,1 Mar 2018
1075983,RSA,AUS,Port Elizabeth,RSA,9 Mar 2018
1075984,RSA,AUS,Cape Town,RSA,22 Mar 2018
1075985,RSA,AUS,Johannesburg,RSA,30 Mar 2018
1144153,RSA,PAK,Centurion,RSA,26 Dec 2018
1144154,RSA,PAK,Cape Town,RSA,3 Jan 2019
1144155,RSA,PAK,Johannesburg,RSA,11 Jan 2019
1144164,RSA,SRL,Durban,RSA,13 Feb 2019
1144165,RSA,SRL,Port Elizabeth,RSA,21 Feb 2019
1185304,RSA,ENG,Centurion,RSA,26 Dec 2019
1185305,RSA,ENG,Cape Town,RSA,3 Jan 2020
1185306,RSA,ENG,Port Elizabeth,RSA,16 Jan 2020
1185307,RSA,ENG,Johannesburg,RSA,24 Jan 2020
63925,WIN,RSA,Georgetown,WIN,9 Mar 2001
63926,WIN,RSA,Port of Spain,WIN,17 Mar 2001
63927,WIN,RSA,Bridgetown,WIN,29 Mar 2001
63928,WIN,RSA,St John's,WIN,6 Apr 2001
63929,WIN,RSA,Kingston,WIN,19 Apr 2001
63984,WIN,IND,Georgetown,WIN,11 Apr 2002
63985,WIN,IND,Port of Spain,WIN,19 Apr 2002
63986,WIN,IND,Bridgetown,WIN,2 May 2002
63987,WIN,IND,St John's,WIN,10 May 2002
63988,WIN,IND,Kingston,WIN,18 May 2002
63993,WIN,NZL,Bridgetown,WIN,21 Jun 2002
63994,WIN,NZL,St George's,WIN,28 Jun 2002
64024,WIN,AUS,Georgetown,WIN,10 Apr 2003
64025,WIN,AUS,Port of Spain,WIN,19 Apr 2003
64026,WIN,AUS,Bridgetown,WIN,1 May 2003
64027,WIN,AUS,St John's,WIN,9 May 2003
64034,WIN,SRL,Gros Islet,WIN,20 Jun 2003
64035,WIN,SRL,Kingston,WIN,27 Jun 2003
64077,WIN,ENG,Kingston,WIN,11 Mar 2004
64078,WIN,ENG,Port of Spain,WIN,19 Mar 2004
64079,WIN,ENG,Bridgetown,WIN,1 Apr 2004
64080,WIN,ENG,St John's,WIN,10 Apr 2004
64089,WIN,BAN,Gros Islet,WIN,28 May 2004
64090,WIN,BAN,Kingston,WIN,4 Jun 2004
64131,WIN,RSA,Georgetown,WIN,31 Mar 2005
64132,WIN,RSA,Port of Spain,WIN,8 Apr 2005
207334,WIN,RSA,Bridgetown,WIN,21 Apr 2005
208321,WIN,RSA,St John's,WIN,29 Apr 2005
209930,WIN,PAK,Bridgetown,WIN,26 May 2005
210368,WIN,PAK,Kingston,WIN,3 Jun 2005
239920,WIN,IND,St John's,WIN,2 Jun 2006
239921,WIN,IND,Gros Islet,WIN,10 Jun 2006
239922,WIN,IND,Basseterre,WIN,22 Jun 2006
239923,WIN,IND,Kingston,WIN,30 Jun 2006
319132,WIN,SRL,Providence,WIN,22 Mar 2008
319133,WIN,SRL,Port of Spain,WIN,3 Apr 2008
319139,WIN,AUS,Kingston,WIN,22 May 2008
319140,WIN,AUS,North Sound,WIN,30 May 2008
319141,WIN,AUS,Bridgetown,WIN,12 Jun 2008
352661,WIN,ENG,Kingston,WIN,4 Feb 2009
352662,WIN,ENG,North Sound,WIN,13 Feb 2009
390680,WIN,ENG,St John's,WIN,15 Feb 2009
352663,WIN,ENG,Bridgetown,WIN,26 Feb 2009
352664,WIN,ENG,Port of Spain,WIN,6 Mar 2009
401071,WIN,BAN,Kingstown,WIN,9 Jul 2009
401072,WIN,BAN,St George's,WIN,17 Jul 2009
439152,WIN,RSA,Port of Spain,WIN,10 Jun 2010
439153,WIN,RSA,Basseterre,WIN,18 Jun 2010
439154,WIN,RSA,Bridgetown,WIN,26 Jun 2010
489218,WIN,PAK,Providence,WIN,12 May 2011
489219,WIN,PAK,Basseterre,WIN,20 May 2011
489226,WIN,IND,Kingston,WIN,20 Jun 2011
489227,WIN,IND,Bridgetown,WIN,28 Jun 2011
489228,WIN,IND,Roseau,WIN,6 Jul 2011
540176,WIN,AUS,Bridgetown,WIN,7 Apr 2012
540177,WIN,AUS,Port of Spain,WIN,15 Apr 2012
540178,WIN,AUS,Roseau,WIN,23 Apr 2012
560929,WIN,NZL,North Sound,WIN,25 Jul 2012
560930,WIN,NZL,Kingston,WIN,2 Aug 2012
593988,WIN,ZIM,Bridgetown,WIN,12 Mar 2013
593989,WIN,ZIM,Roseau,WIN,20 Mar 2013
730277,WIN,NZL,Kingston,WIN,8 Jun 2014
730279,WIN,NZL,Port of Spain,WIN,16 Jun 2014
730281,WIN,NZL,Bridgetown,WIN,26 Jun 2014
730295,WIN,BAN,Kingstown,WIN,5 Sep 2014
730297,WIN,BAN,Gros Islet,WIN,13 Sep 2014
766929,WIN,ENG,North Sound,WIN,13 Apr 2015
766931,WIN,ENG,St George's,WIN,21 Apr 2015
766933,WIN,ENG,Bridgetown,WIN,1 May 2015
810423,WIN,AUS,Roseau,WIN,3 Jun 2015
810425,WIN,AUS,Kingston,WIN,11 Jun 2015
1022593,WIN,IND,North Sound,WIN,21 Jul 2016
1022595,WIN,IND,Kingston,WIN,30 Jul 2016
1022597,WIN,IND,Gros Islet,WIN,9 Aug 2016
1022599,WIN,IND,Port of Spain,WIN,18 Aug 2016
1077953,WIN,PAK,Kingston,WIN,21 Apr 2017
1077954,WIN,PAK,Bridgetown,WIN,30 Apr 2017
1077955,WIN,PAK,Roseau,WIN,10 May 2017
1135149,WIN,SRL,Port of Spain,WIN,6 Jun 2018
1135150,WIN,SRL,Gros Islet,WIN,14 Jun 2018
1135151,WIN,SRL,Bridgetown,WIN,23 Jun 2018
1146717,WIN,BAN,North Sound,WIN,4 Jul 2018
1146718,WIN,BAN,Kingston,WIN,12 Jul 2018
1158062,WIN,ENG,Bridgetown,WIN,23 Jan 2019
1158063,WIN,ENG,North Sound,WIN,31 Jan 2019
1158064,WIN,ENG,Gros Islet,WIN,9 Feb 2019
1188628,WIN,IND,North Sound,WIN,22 Aug 2019
1188629,WIN,IND,Kingston,WIN,30 Aug 2019
63922,NZL,PAK,Auckland,NZL,8 Mar 2001
63923,NZL,PAK,Christchurch,NZL,15 Mar 2001
63924,NZL,PAK,Hamilton,NZL,27 Mar 2001
63967,NZL,BAN,Hamilton,NZL,18 Dec 2001
63968,NZL,BAN,Wellington,NZL,26 Dec 2001
63981,NZL,ENG,Christchurch,NZL,13 Mar 2002
63982,NZL,ENG,Wellington,NZL,21 Mar 2002
63983,NZL,ENG,Auckland,NZL,30 Mar 2002
64020,NZL,IND,Wellington,NZL,12 Dec 2002
64021,NZL,IND,Hamilton,NZL,19 Dec 2002
64067,NZL,PAK,Hamilton,NZL,19 Dec 2003
64068,NZL,PAK,Wellington,NZL,26 Dec 2003
64074,NZL,RSA,Hamilton,NZL,10 Mar 2004
64075,NZL,RSA,Auckland,NZL,18 Mar 2004
64076,NZL,RSA,Wellington,NZL,26 Mar 2004
64128,NZL,AUS,Christchurch,NZL,10 Mar 2005
64129,NZL,AUS,Wellington,NZL,18 Mar 2005
64130,NZL,AUS,Auckland,NZL,26 Mar 2005
64133,NZL,SRL,Napier,NZL,4 Apr 2005
64134,NZL,SRL,Wellington,NZL,11 Apr 2005
238180,NZL,WIN,Auckland,NZL,9 Mar 2006
238181,NZL,WIN,Wellington,NZL,17 Mar 2006
238182,NZL,WIN,Napier,NZL,25 Mar 2006
251485,NZL,SRL,Christchurch,NZL,7 Dec 2006
251486,NZL,SRL,Wellington,NZL,15 Dec 2006
300429,NZL,BAN,Dunedin,NZL,4 Jan 2008
300430,NZL,BAN,Wellington,NZL,12 Jan 2008
300442,NZL,ENG,Hamilton,NZL,5 Mar 2008
300443,NZL,ENG,Wellington,NZL,13 Mar 2008
300444,NZL,ENG,Napier,NZL,22 Mar 2008
366705,NZL,WIN,Dunedin,NZL,11 Dec 2008
366706,NZL,WIN,Napier,NZL,19 Dec 2008
366628,NZL,IND,Hamilton,NZL,18 Mar 2009
386496,NZL,IND,Napier,NZL,26 Mar 2009
366629,NZL,IND,Wellington,NZL,3 Apr 2009
423778,NZL,PAK,Dunedin,NZL,24 Nov 2009
423779,NZL,PAK,Wellington,NZL,3 Dec 2009
423780,NZL,PAK,Napier,NZL,11 Dec 2009
423786,NZL,BAN,Hamilton,NZL,15 Feb 2010
423789,NZL,AUS,Wellington,NZL,19 Mar 2010
423790,NZL,AUS,Hamilton,NZL,27 Mar 2010
473921,NZL,PAK,Hamilton,NZL,7 Jan 2011
473922,NZL,PAK,Wellington,NZL,15 Jan 2011
520591,NZL,ZIM,Napier,NZL,26 Jan 2012
