outcome,innings,team_wkts,team_score,team_lead,bat_score,bat_balls,bat_avg,bowl_balls,bowl_runs,bowl_wkts,bowl_avg
3,1,2,36,36,4,7,63.24,33,13,2,28.67
0,1,2,39,39,12,30,38.45,34,16,2,28.67
0,1,2,39,39,12,31,38.45,35,16,2,28.67
0,1,2,39,39,7,8,63.24,0,0,0,32.22
1,1,2,39,39,7,9,63.24,1,0,0,32.22
1lb,1,2,40,40,12,32,38.45,2,1,0,32.22
0,1,2,41,41,8,10,63.24,3,1,0,32.22
0,1,2,41,41,8,11,63.24,4,1,0,32.22
0,1,2,41,41,8,12,63.24,5,1,0,32.22
0,1,2,41,41,12,33,38.45,36,16,2,28.67
0,1,2,41,41,12,34,38.45,37,16,2,28.67
4,1,2,41,41,12,35,38.45,38,16,2,28.67
0,1,2,45,45,16,36,38.45,39,20,2,28.67
0,1,2,45,45,16,37,38.45,40,20,2,28.67
4,1,2,45,45,16,38,38.45,41,20,2,28.67
0,1,2,49,49,8,13,63.24,6,1,0,32.22
0,1,2,49,49,8,14,63.24,7,1,0,32.22
0,1,2,49,49,8,15,63.24,8,1,0,32.22
4,1,2,49,49,8,16,63.24,9,1,0,32.22
4,1,2,53,53,12,17,63.24,10,5,0,32.22
0,1,2,57,57,16,18,63.24,11,9,0,32.22
0,1,2,57,57,20,39,38.45,0,0,0,25.04
4,1,2,57,57,20,40,38.45,1,0,0,25.04
4,1,2,61,61,24,41,38.45,2,4,0,25.04
1,1,2,65,65,28,42,38.45,3,8,0,25.04
0,1,2,66,66,16,19,63.24,4,9,0,25.04
0,1,2,66,66,16,20,63.24,5,9,0,25.04
0,1,2,66,66,29,43,38.45,12,9,0,32.22
0,1,2,66,66,29,44,38.45,13,9,0,32.22
1,1,2,66,66,29,45,38.45,14,9,0,32.22
4,1,2,67,67,16,21,63.24,15,10,0,32.22
1,1,2,71,71,20,22,63.24,16,14,0,32.22
0,1,2,72,72,30,46,38.45,17,15,0,32.22
0,1,2,72,72,21,23,63.24,6,9,0,25.04
0,1,2,72,72,21,24,63.24,7,9,0,25.04
0,1,2,72,72,21,25,63.24,8,9,0,25.04
0,1,2,72,72,21,26,63.24,9,9,0,25.04
0,1,2,72,72,21,27,63.24,10,9,0,25.04
0,1,2,72,72,21,28,63.24,11,9,0,25.04
0,1,2,72,72,30,47,38.45,18,15,0,32.22
0,1,2,72,72,30,48,38.45,19,15,0,32.22
0,1,2,72,72,30,49,38.45,20,15,0,32.22
0,1,2,72,72,30,50,38.45,21,15,0,32.22
1,1,2,72,72,30,51,38.45,22,15,0,32.22
2,1,2,73,73,21,29,63.24,23,16,0,32.22
0,1,2,75,75,31,52,38.45,12,9,0,25.04
1,1,2,75,75,31,53,38.45,13,9,0,25.04
1,1,2,76,76,23,30,63.24,14,10,0,25.04
2,1,2,77,77,32,54,38.45,15,11,0,25.04
0,1,2,79,79,34,55,38.45,16,13,0,25.04
0,1,2,79,79,34,56,38.45,17,13,0,25.04
0,1,2,79,79,24,31,63.24,0,0,0,42.28
0,1,2,79,79,24,32,63.24,1,0,0,42.28
1,1,2,79,79,24,33,63.24,2,0,0,42.28
0,1,2,80,80,34,57,38.45,3,1,0,42.28
0,1,2,80,80,34,58,38.45,4,1,0,42.28
0,1,2,80,80,34,59,38.45,5,1,0,42.28
0,1,2,80,80,25,34,63.24,18,13,0,25.04
0,1,2,80,80,25,35,63.24,19,13,0,25.04
1,1,2,80,80,25,36,63.24,20,13,0,25.04
0,1,2,81,81,34,60,38.45,21,14,0,25.04
0,1,2,81,81,34,61,38.45,22,14,0,25.04
0,1,2,81,81,34,62,38.45,23,14,0,25.04
1,1,2,81,81,26,37,63.24,6,1,0,42.28
2,1,2,82,82,34,63,38.45,7,2,0,42.28
0,1,2,84,84,36,64,38.45,8,4,0,42.28
0,1,2,84,84,36,65,38.45,9,4,0,42.28
0,1,2,84,84,36,66,38.45,10,4,0,42.28
2,1,2,84,84,36,67,38.45,11,4,0,42.28
0,1,2,86,86,27,38,63.24,24,14,0,25.04
0,1,2,86,86,27,39,63.24,25,14,0,25.04
1,1,2,86,86,27,40,63.24,26,14,0,25.04
2,1,2,87,87,38,68,38.45,27,15,0,25.04
1,1,2,89,89,40,69,38.45,28,17,0,25.04
0,1,2,90,90,28,41,63.24,29,18,0,25.04
4,1,2,90,90,41,70,38.45,12,6,0,42.28
0,1,2,94,94,45,71,38.45,13,10,0,42.28
0,1,2,94,94,45,72,38.45,14,10,0,42.28
0,1,2,94,94,45,73,38.45,15,10,0,42.28
0,1,2,94,94,45,74,38.45,16,10,0,42.28
0,1,2,94,94,45,75,38.45,17,10,0,42.28
0,1,2,94,94,28,42,63.24,30,18,0,25.04
0,1,2,94,94,28,43,63.24,31,18,0,25.04
0,1,2,94,94,28,44,63.24,32,18,0,25.04
0,1,2,94,94,28,45,63.24,33,18,0,25.04
0,1,2,94,94,28,46,63.24,34,18,0,25.04
0,1,2,94,94,28,47,63.24,35,18,0,25.04
4,1,2,94,94,45,76,38.45,18,10,0,42.28
0,1,2,98,98,49,77,38.45,19,14,0,42.28
0,1,2,98,98,49,78,38.45,20,14,0,42.28
0,1,2,98,98,49,79,38.45,21,14,0,42.28
0,1,2,98,98,49,80,38.45,22,14,0,42.28
0,1,2,98,98,49,81,38.45,23,14,0,42.28
0,1,2,98,98,28,48,63.24,30,16,0,13.53
0,1,2,98,98,28,49,63.24,31,16,0,13.53
1,1,2,98,98,28,50,63.24,32,16,0,13.53
0,1,2,99,99,49,82,38.45,33,17,0,13.53
0,1,2,99,99,49,83,38.45,34,17,0,13.53
0,1,2,99,99,49,84,38.45,35,17,0,13.53
1,1,2,99,99,29,51,63.24,42,24,2,28.67
0,1,2,100,100,49,85,38.45,43,25,2,28.67
0,1,2,100,100,49,86,38.45,44,25,2,28.67
1,1,2,100,100,49,87,38.45,45,25,2,28.67
0,1,2,101,101,30,52,63.24,46,26,2,28.67
0,1,2,101,101,30,53,63.24,47,26,2,28.67
1,1,2,101,101,50,88,38.45,36,17,0,13.53
0,1,2,102,102,30,54,63.24,37,18,0,13.53
0,1,2,102,102,30,55,63.24,38,18,0,13.53
0,1,2,102,102,30,56,63.24,39,18,0,13.53
1,1,2,102,102,30,57,63.24,40,18,0,13.53
0,1,2,103,103,51,89,38.45,41,19,0,13.53
4,1,2,103,103,31,58,63.24,48,26,2,28.67
0,1,2,107,107,35,59,63.24,49,30,2,28.67
3,1,2,107,107,35,60,63.24,50,30,2,28.67
0,1,2,110,110,51,90,38.45,51,33,2,28.67
4lb,1,2,110,110,51,91,38.45,52,33,2,28.67
0,1,2,114,114,51,92,38.45,53,33,2,28.67
0,1,2,114,114,38,61,63.24,42,19,0,13.53
4,1,2,114,114,38,62,63.24,43,19,0,13.53
0,1,2,118,118,42,63,63.24,44,23,0,13.53
0,1,2,118,118,42,64,63.24,45,23,0,13.53
0,1,2,118,118,42,65,63.24,46,23,0,13.53
0,1,2,118,118,42,66,63.24,47,23,0,13.53
0,1,2,118,118,51,93,38.45,54,33,2,28.67
0,1,2,118,118,51,94,38.45,55,33,2,28.67
0,1,2,118,118,51,95,38.45,56,33,2,28.67
0,1,2,118,118,51,96,38.45,57,33,2,28.67
1,1,2,118,118,51,97,38.45,58,33,2,28.67
1,1,2,119,119,42,67,63.24,59,34,2,28.67
2,1,2,120,120,43,68,63.24,48,23,0,13.53
0,1,2,122,122,45,69,63.24,49,25,0,13.53
0,1,2,122,122,45,70,63.24,50,25,0,13.53
0,1,2,122,122,45,71,63.24,51,25,0,13.53
0,1,2,122,122,45,72,63.24,52,25,0,13.53
0,1,2,122,122,45,73,63.24,53,25,0,13.53
0,1,2,122,122,52,98,38.45,24,14,0,42.28
0,1,2,122,122,52,99,38.45,25,14,0,42.28
0,1,2,122,122,52,100,38.45,26,14,0,42.28
0,1,2,122,122,52,101,38.45,27,14,0,42.28
1,1,2,122,122,52,102,38.45,28,14,0,42.28
0,1,2,123,123,45,74,63.24,29,15,0,42.28
1,1,2,123,123,53,103,38.45,54,25,0,13.53
1,1,2,124,124,45,75,63.24,55,26,0,13.53
0,1,2,125,125,54,104,38.45,56,27,0,13.53
0,1,2,125,125,54,105,38.45,57,27,0,13.53
0,1,2,125,125,54,106,38.45,58,27,0,13.53
1,1,2,125,125,54,107,38.45,59,27,0,13.53
0,1,2,126,126,55,108,38.45,30,15,0,42.28
4,1,2,126,126,55,109,38.45,31,15,0,42.28
0,1,2,130,130,59,110,38.45,32,19,0,42.28
0,1,2,130,130,59,111,38.45,33,19,0,42.28
1,1,2,130,130,59,112,38.45,34,19,0,42.28
0,1,2,131,131,46,76,63.24,35,20,0,42.28
1,1,2,131,131,60,113,38.45,24,18,0,32.22
0,1,2,132,132,46,77,63.24,25,19,0,32.22
1,1,2,132,132,46,78,63.24,26,19,0,32.22
0,1,2,133,133,61,114,38.45,27,20,0,32.22
1,1,2,133,133,61,115,38.45,28,20,0,32.22
0,1,2,134,134,47,79,63.24,29,21,0,32.22
0,1,2,134,134,62,116,38.45,36,20,0,42.28
0,1,2,134,134,62,117,38.45,37,20,0,42.28
0,1,2,134,134,62,118,38.45,38,20,0,42.28
0,1,2,134,134,62,119,38.45,39,20,0,42.28
0,1,2,134,134,62,120,38.45,40,20,0,42.28
4,1,2,134,134,62,121,38.45,41,20,0,42.28
4,1,2,138,138,47,80,63.24,30,21,0,32.22
1,1,2,142,142,51,81,63.24,31,25,0,32.22
0,1,2,143,143,66,122,38.45,32,26,0,32.22
0,1,2,143,143,66,123,38.45,33,26,0,32.22
0,1,2,143,143,66,124,38.45,34,26,0,32.22
1,1,2,143,143,66,125,38.45,35,26,0,32.22
0,1,2,144,144,67,126,38.45,42,24,0,42.28
W,1,2,144,144,67,127,38.45,43,24,0,42.28
0,1,3,144,144,0,0,45.72,44,24,1,42.28
4,1,3,144,144,0,1,45.72,45,24,1,42.28
0,1,3,148,148,4,2,45.72,46,28,1,42.28
3,1,3,148,148,4,3,45.72,47,28,1,42.28
0,1,3,151,151,7,4,45.72,36,27,0,32.22
3,1,3,151,151,7,5,45.72,37,27,0,32.22
0,1,3,154,154,52,82,63.24,38,30,0,32.22
0,1,3,154,154,52,83,63.24,39,30,0,32.22
1,1,3,154,154,52,84,63.24,40,30,0,32.22
0,1,3,155,155,10,6,45.72,41,31,0,32.22
2,1,3,155,155,53,85,63.24,48,31,1,42.28
0,1,3,157,157,55,86,63.24,49,33,1,42.28
0,1,3,157,157,55,87,63.24,50,33,1,42.28
3,1,3,157,157,55,88,63.24,51,33,1,42.28
0,1,3,160,160,10,7,45.72,52,36,1,42.28
0,1,3,160,160,10,8,45.72,53,36,1,42.28
0,1,3,160,160,58,89,63.24,42,31,0,32.22
1,1,3,160,160,58,90,63.24,43,31,0,32.22
0,1,3,161,161,10,9,45.72,44,32,0,32.22
0,1,3,161,161,10,10,45.72,45,32,0,32.22
4,1,3,161,161,10,11,45.72,46,32,0,32.22
0,1,3,165,165,14,12,45.72,47,36,0,32.22
0,1,3,165,165,59,91,63.24,54,36,1,42.28
1,1,3,165,165,59,92,63.24,55,36,1,42.28
0,1,3,166,166,14,13,45.72,56,37,1,42.28
4,1,3,166,166,14,14,45.72,57,37,1,42.28
0,1,3,170,170,18,15,45.72,58,41,1,42.28
0,1,3,170,170,18,16,45.72,59,41,1,42.28
0,1,3,170,170,60,93,63.24,60,35,2,28.67
0,1,3,170,170,60,94,63.24,61,35,2,28.67
0,1,3,170,170,60,95,63.24,62,35,2,28.67
0,1,3,170,170,60,96,63.24,63,35,2,28.67
0,1,3,170,170,60,97,63.24,64,35,2,28.67
1,1,3,170,170,60,98,63.24,65,35,2,28.67
0,1,3,171,171,61,99,63.24,60,28,0,13.53
4,1,3,171,171,61,100,63.24,61,28,0,13.53
4,1,3,175,175,65,101,63.24,62,32,0,13.53
1,1,3,179,179,69,102,63.24,63,36,0,13.53
0,1,3,180,180,18,17,45.72,64,37,0,13.53
0,1,3,180,180,18,18,45.72,65,37,0,13.53
0,1,3,180,180,70,103,63.24,66,36,2,28.67
0,1,3,180,180,70,104,63.24,67,36,2,28.67
0,1,3,180,180,70,105,63.24,68,36,2,28.67
0,1,3,180,180,70,106,63.24,69,36,2,28.67
0,1,3,180,180,70,107,63.24,70,36,2,28.67
1,1,3,180,180,70,108,63.24,71,36,2,28.67
0,1,3,181,181,71,109,63.24,66,37,0,13.53
0,1,3,181,181,71,110,63.24,67,37,0,13.53
0,1,3,181,181,71,111,63.24,68,37,0,13.53
0,1,3,181,181,71,112,63.24,69,37,0,13.53
0,1,3,181,181,71,113,63.24,70,37,0,13.53
0,1,3,181,181,71,114,63.24,71,37,0,13.53
0,1,3,181,181,18,19,45.72,72,37,2,28.67
1,1,3,181,181,18,20,45.72,73,37,2,28.67
1,1,3,182,182,71,115,63.24,74,38,2,28.67
W,1,3,183,183,19,21,45.72,75,39,2,28.67
0,1,4,183,183,0,0,28.02,76,39,3,28.67
1,1,4,183,183,0,1,28.02,77,39,3,28.67
0,1,4,184,184,1,2,28.02,72,37,0,13.53
0,1,4,184,184,1,3,28.02,73,37,0,13.53
0,1,4,184,184,1,4,28.02,74,37,0,13.53
0,1,4,184,184,1,5,28.02,75,37,0,13.53
0,1,4,184,184,1,6,28.02,76,37,0,13.53
2,1,4,184,184,1,7,28.02,77,37,0,13.53
1,1,4,186,186,72,116,63.24,78,40,3,28.67
0,1,4,187,187,3,8,28.02,79,41,3,28.67
0,1,4,187,187,3,9,28.02,80,41,3,28.67
0,1,4,187,187,3,10,28.02,81,41,3,28.67
1,1,4,187,187,3,11,28.02,82,41,3,28.67
0,1,4,188,188,73,117,63.24,83,42,3,28.67
1,1,4,188,188,4,12,28.02,78,39,0,13.53
0,1,4,189,189,73,118,63.24,79,40,0,13.53
0,1,4,189,189,73,119,63.24,80,40,0,13.53
4,1,4,189,189,73,120,63.24,81,40,0,13.53
0,1,4,193,193,77,121,63.24,82,44,0,13.53
0,1,4,193,193,77,122,63.24,83,44,0,13.53
1,1,4,193,193,5,13,28.02,84,42,3,28.67
0,1,4,194,194,77,123,63.24,85,43,3,28.67
2,1,4,194,194,77,124,63.24,86,43,3,28.67
0,1,4,196,196,79,125,63.24,87,45,3,28.67
0,1,4,196,196,79,126,63.24,88,45,3,28.67
0,1,4,196,196,79,127,63.24,89,45,3,28.67
0,1,4,196,196,6,14,28.02,84,44,0,13.53
0,1,4,196,196,6,15,28.02,85,44,0,13.53
0,1,4,196,196,6,16,28.02,86,44,0,13.53
0,1,4,196,196,6,17,28.02,87,44,0,13.53
0,1,4,196,196,6,18,28.02,88,44,0,13.53
1lb,1,4,196,196,6,19,28.02,89,44,0,13.53
0,1,4,197,197,6,20,28.02,90,45,3,28.67
2,1,4,197,197,6,21,28.02,91,45,3,28.67
0,1,4,199,199,8,22,28.02,92,47,3,28.67
0,1,4,199,199,8,23,28.02,93,47,3,28.67
0,1,4,199,199,8,24,28.02,94,47,3,28.67
0,1,4,199,199,8,25,28.02,95,47,3,28.67
0,1,4,199,199,79,128,63.24,90,44,0,13.53
1,1,4,199,199,79,129,63.24,91,44,0,13.53
4,1,4,200,200,8,26,28.02,92,45,0,13.53
1nb,1,4,204,204,12,27,28.02,93,49,0,13.53
0,1,4,205,205,12,27,28.02,94,50,0,13.53
0,1,4,205,205,12,28,28.02,95,50,0,13.53
4lb,1,4,205,205,12,29,28.02,96,50,0,13.53
1,1,4,209,209,80,130,63.24,36,18,0,25.04
0,1,4,210,210,12,30,28.02,37,19,0,25.04
0,1,4,210,210,12,31,28.02,38,19,0,25.04
0,1,4,210,210,12,32,28.02,39,19,0,25.04
4,1,4,210,210,12,33,28.02,40,19,0,25.04
0,1,4,214,214,16,34,28.02,41,23,0,25.04
0,1,4,214,214,81,131,63.24,60,41,1,42.28
0,1,4,214,214,81,132,63.24,61,41,1,42.28
1,1,4,214,214,81,133,63.24,62,41,1,42.28
0,1,4,215,215,16,35,28.02,63,42,1,42.28
0,1,4,215,215,16,36,28.02,64,42,1,42.28
0,1,4,215,215,16,37,28.02,65,42,1,42.28
0,1,4,215,215,82,134,63.24,42,23,0,25.04
0,1,4,215,215,82,135,63.24,43,23,0,25.04
4,1,4,215,215,82,136,63.24,44,23,0,25.04
0,1,4,219,219,86,137,63.24,45,27,0,25.04
0,1,4,219,219,86,138,63.24,46,27,0,25.04
1,1,4,219,219,86,139,63.24,47,27,0,25.04
0,1,4,220,220,87,140,63.24,66,42,1,42.28
1lb,1,4,220,220,87,141,63.24,67,42,1,42.28
0,1,4,221,221,16,38,28.02,68,42,1,42.28
0,1,4,221,221,16,39,28.02,69,42,1,42.28
0,1,4,221,221,16,40,28.02,70,42,1,42.28
0,1,4,221,221,16,41,28.02,71,42,1,42.28
2,1,4,221,221,87,142,63.24,48,28,0,25.04
0,1,4,223,223,89,143,63.24,49,30,0,25.04
1,1,4,223,223,89,144,63.24,50,30,0,25.04
0,1,4,224,224,16,42,28.02,51,31,0,25.04
W,1,4,224,224,16,43,28.02,52,31,0,25.04
0,1,5,224,224,0,0,31.2,53,31,1,25.04
0,1,5,224,224,90,145,63.24,72,42,1,42.28
1,1,5,224,224,90,146,63.24,73,42,1,42.28
0,1,5,225,225,0,1,31.2,74,43,1,42.28
0,1,5,225,225,0,2,31.2,75,43,1,42.28
1,1,5,225,225,0,3,31.2,76,43,1,42.28
1,1,5,226,226,91,147,63.24,77,44,1,42.28
0,1,5,227,227,92,148,63.24,54,31,1,25.04
0,1,5,227,227,92,149,63.24,55,31,1,25.04
0,1,5,227,227,92,150,63.24,56,31,1,25.04
1,1,5,227,227,92,151,63.24,57,31,1,25.04
0,1,5,228,228,1,4,31.2,58,32,1,25.04
1,1,5,228,228,1,5,31.2,59,32,1,25.04
0,1,5,229,229,2,6,31.2,78,45,1,42.28
0,1,5,229,229,2,7,31.2,79,45,1,42.28
0,1,5,229,229,2,8,31.2,80,45,1,42.28
0,1,5,229,229,2,9,31.2,81,45,1,42.28
1,1,5,229,229,2,10,31.2,82,45,1,42.28
1,1,5,230,230,93,152,63.24,83,46,1,42.28
0,1,5,231,231,94,153,63.24,60,33,1,25.04
1,1,5,231,231,94,154,63.24,61,33,1,25.04
0,1,5,232,232,3,11,31.2,62,34,1,25.04
0,1,5,232,232,3,12,31.2,63,34,1,25.04
0,1,5,232,232,3,13,31.2,64,34,1,25.04
0,1,5,232,232,3,14,31.2,65,34,1,25.04
1,1,5,232,232,95,155,63.24,84,47,1,42.28
0,1,5,233,233,3,15,31.2,85,48,1,42.28
0,1,5,233,233,3,16,31.2,86,48,1,42.28
0,1,5,233,233,3,17,31.2,87,48,1,42.28
0,1,5,233,233,3,18,31.2,88,48,1,42.28
0,1,5,233,233,3,19,31.2,89,48,1,42.28
1,1,5,233,233,96,156,63.24,66,34,1,25.04
1,1,5,234,234,3,20,31.2,67,35,1,25.04
1,1,5,235,235,97,157,63.24,68,36,1,25.04
0,1,5,236,236,4,21,31.2,69,37,1,25.04
0,1,5,236,236,4,22,31.2,70,37,1,25.04
1w,1,5,236,236,98,158,63.24,90,48,1,42.28
0,1,5,237,237,4,23,31.2,71,37,1,25.04
1,1,5,237,237,98,158,63.24,91,49,1,42.28
1,1,5,238,238,4,24,31.2,92,50,1,42.28
2,1,5,239,239,99,159,63.24,93,51,1,42.28
0,1,5,241,241,101,160,63.24,94,53,1,42.28
0,1,5,241,241,101,161,63.24,95,53,1,42.28
0,1,5,241,241,101,162,63.24,96,53,1,42.28
0,1,5,241,241,5,25,31.2,72,37,1,25.04
0,1,5,241,241,5,26,31.2,73,37,1,25.04
0,1,5,241,241,5,27,31.2,74,37,1,25.04
4,1,5,241,241,5,28,31.2,75,37,1,25.04
0,1,5,245,245,9,29,31.2,76,41,1,25.04
0,1,5,245,245,9,30,31.2,77,41,1,25.04
1,1,5,245,245,101,163,63.24,96,47,3,28.67
0,1,5,246,246,9,31,31.2,97,48,3,28.67
0,1,5,246,246,9,32,31.2,98,48,3,28.67
0,1,5,246,246,9,33,31.2,99,48,3,28.67
0,1,5,246,246,9,34,31.2,100,48,3,28.67
0,1,5,246,246,9,35,31.2,101,48,3,28.67
0,1,5,246,246,102,164,63.24,78,41,1,25.04
0,1,5,246,246,102,165,63.24,79,41,1,25.04
1,1,5,246,246,102,166,63.24,80,41,1,25.04
0,1,5,247,247,9,36,31.2,81,42,1,25.04
0,1,5,247,247,9,37,31.2,82,42,1,25.04
0,1,5,247,247,9,38,31.2,83,42,1,25.04
0,1,5,247,247,103,167,63.24,102,48,3,28.67
4,1,5,247,247,103,168,63.24,103,48,3,28.67
1,1,5,251,251,107,169,63.24,104,52,3,28.67
0,1,5,252,252,9,39,31.2,105,53,3,28.67
0,1,5,252,252,9,40,31.2,106,53,3,28.67
0,1,5,252,252,9,41,31.2,107,53,3,28.67
1,1,5,252,252,108,170,63.24,84,42,1,25.04
0,1,5,253,253,9,42,31.2,85,43,1,25.04
4,1,5,253,253,9,43,31.2,86,43,1,25.04
0,1,5,257,257,13,44,31.2,87,47,1,25.04
1,1,5,257,257,13,45,31.2,88,47,1,25.04
0,1,5,258,258,109,171,63.24,89,48,1,25.04
4,1,5,258,258,14,46,31.2,48,36,0,32.22
1,1,5,262,262,18,47,31.2,49,40,0,32.22
4,1,5,263,263,109,172,63.24,50,41,0,32.22
1nb,1,5,267,267,113,173,63.24,51,45,0,32.22
4,1,5,268,268,113,173,63.24,52,46,0,32.22
0,1,5,272,272,117,174,63.24,53,50,0,32.22
1nb,1,5,272,272,117,175,63.24,90,48,1,25.04
1,1,5,273,273,117,175,63.24,54,50,0,32.22
0,1,5,274,274,118,176,63.24,91,49,1,25.04
0,1,5,274,274,118,177,63.24,92,49,1,25.04
0,1,5,274,274,118,178,63.24,93,49,1,25.04
1,1,5,274,274,118,179,63.24,94,49,1,25.04
1,1,5,275,275,19,48,31.2,95,50,1,25.04
1,1,5,276,276,119,180,63.24,96,51,1,25.04
0,1,5,277,277,120,181,63.24,55,51,0,32.22
0,1,5,277,277,120,182,63.24,56,51,0,32.22
1,1,5,277,277,120,183,63.24,57,51,0,32.22
2nb,1,5,278,278,20,49,31.2,58,52,0,32.22
0,1,5,280,280,21,49,31.2,59,54,0,32.22
0,1,5,280,280,121,184,63.24,60,54,0,32.22
4,1,5,280,280,121,185,63.24,61,54,0,32.22
1,1,5,284,284,21,50,31.2,97,52,1,25.04
0,1,5,285,285,125,186,63.24,98,53,1,25.04
0,1,5,285,285,125,187,63.24,99,53,1,25.04
0,1,5,285,285,125,188,63.24,100,53,1,25.04
0,1,5,285,285,125,189,63.24,101,53,1,25.04
0,1,5,285,285,125,190,63.24,102,53,1,25.04
0,1,5,285,285,22,51,31.2,0,0,0,100
0,1,5,285,285,22,52,31.2,1,0,0,100
0,1,5,285,285,22,53,31.2,2,0,0,100
0,1,5,285,285,22,54,31.2,3,0,0,100
0,1,5,285,285,22,55,31.2,4,0,0,100
0,1,5,285,285,22,56,31.2,5,0,0,100
1,1,5,285,285,125,191,63.24,103,53,1,25.04
0,1,5,286,286,22,57,31.2,104,54,1,25.04
1,1,5,286,286,22,58,31.2,105,54,1,25.04
0,1,5,287,287,126,192,63.24,106,55,1,25.04
0,1,5,287,287,126,193,63.24,107,55,1,25.04
1,1,5,287,287,126,194,63.24,108,55,1,25.04
0,1,5,288,288,127,195,63.24,6,0,0,100
1,1,5,288,288,127,196,63.24,7,0,0,100
0,1,5,289,289,23,59,31.2,8,1,0,100
1,1,5,289,289,23,60,31.2,9,1,0,100
0,1,5,290,290,128,197,63.24,10,2,0,100
1,1,5,290,290,128,198,63.24,11,2,0,100
0,1,5,291,291,129,199,63.24,108,53,3,28.67
1,1,5,291,291,129,200,63.24,109,53,3,28.67
0,1,5,292,292,24,61,31.2,110,54,3,28.67
4,1,5,292,292,24,62,31.2,111,54,3,28.67
0,1,5,296,296,28,63,31.2,112,58,3,28.67
0,1,5,296,296,28,64,31.2,113,58,3,28.67
0,1,5,296,296,130,201,63.24,97,50,0,13.53
1,1,5,296,296,130,202,63.24,98,50,0,13.53
0,1,5,297,297,28,65,31.2,99,51,0,13.53
0,1,5,297,297,28,66,31.2,100,51,0,13.53
