urlEnd,Team1,Team2,Venue,Country,StartDate,TossWin,TossElect,Score1,Score2,Score3,Score4,Winner,Margin
667715,ENG,IND,Southampton,ENG,27 Jul 2014,ENG,bat,569/7d,330,205/4d,178,ENG,266 runs
667717,IND,ENG,Manchester,ENG,7 Aug 2014,IND,bat,152,367,161,-,ENG,an innings and 54 runs
667719,IND,ENG,The Oval,ENG,15 Aug 2014,ENG,bowl,148,486,94,-,ENG,an innings and 244 runs
743939,ENG,NZL,Lord's,ENG,21 May 2015,NZL,bowl,389,523,478,220,ENG,124 runs
743941,NZL,ENG,Leeds,ENG,29 May 2015,ENG,bowl,350,350,454/8d,255,NZL,199 runs
743963,ENG,AUS,Cardiff,ENG,8 Jul 2015,ENG,bat,430,308,289,242,ENG,169 runs
743965,AUS,ENG,Lord's,ENG,16 Jul 2015,AUS,bat,566/8d,312,254/2d,103,AUS,405 runs
743967,AUS,ENG,Birmingham,ENG,29 Jul 2015,AUS,bat,136,281,265,124/2,ENG,8 wickets
743969,AUS,ENG,Nottingham,ENG,6 Aug 2015,ENG,bowl,60,391/9d,253,-,ENG,an innings and 78 runs
743971,AUS,ENG,The Oval,ENG,20 Aug 2015,ENG,bowl,481,149,286 (f/o),-,AUS,an innings and 46 runs
913613,ENG,SRL,Leeds,ENG,19 May 2016,SRL,bowl,298,91,119 (f/o),-,ENG,an innings and 88 runs
913615,ENG,SRL,Chester-le-Street,ENG,27 May 2016,ENG,bat,498/9d,101,475 (f/o),80/1,ENG,9 wickets
913617,ENG,SRL,Lord's,ENG,9 Jun 2016,ENG,bat,416,288,233/7d,78/1,draw,-
913641,PAK,ENG,Lord's,ENG,14 Jul 2016,PAK,bat,339,272,215,207,PAK,75 runs
913643,ENG,PAK,Manchester,ENG,22 Jul 2016,ENG,bat,589/8d,198,173/1d,234,ENG,330 runs
913645,ENG,PAK,Birmingham,ENG,3 Aug 2016,PAK,bowl,297,400,445/6d,201,ENG,141 runs
913647,ENG,PAK,The Oval,ENG,11 Aug 2016,ENG,bat,328,542,253,42/0,PAK,10 wickets
1031437,ENG,RSA,Lord's,ENG,6 Jul 2017,ENG,bat,458,361,233,119,ENG,211 runs
1031439,RSA,ENG,Nottingham,ENG,14 Jul 2017,RSA,bat,335,205,343/9d,133,RSA,340 runs
1031441,ENG,RSA,The Oval,ENG,27 Jul 2017,ENG,bat,353,175,313/8d,252,ENG,239 runs
1031443,ENG,RSA,Manchester,ENG,4 Aug 2017,ENG,bat,362,226,243,202,ENG,177 runs
1031659,ENG,WIN,Birmingham,ENG,17 Aug 2017,ENG,bat,514/8d,168,137 (f/o),-,ENG,an innings and 209 runs
1031661,ENG,WIN,Leeds,ENG,25 Aug 2017,ENG,bat,258,427,490/8d,322/5,WIN,5 wickets
1031663,WIN,ENG,Lord's,ENG,7 Sep 2017,WIN,bat,123,194,177,107/1,ENG,9 wickets
1119535,ENG,PAK,Lord's,ENG,24 May 2018,ENG,bat,184,363,242,66/1,PAK,9 wickets
1119536,PAK,ENG,Leeds,ENG,1 Jun 2018,PAK,bat,174,363,134,-,ENG,an innings and 55 runs
1119549,ENG,IND,Birmingham,ENG,1 Aug 2018,ENG,bat,287,274,180,162,ENG,31 runs
1119550,IND,ENG,Lord's,ENG,9 Aug 2018,ENG,bowl,107,396/7d,130,-,ENG,an innings and 159 runs
1119551,IND,ENG,Nottingham,ENG,18 Aug 2018,ENG,bowl,329,161,352/7d,317,IND,203 runs
1119552,ENG,IND,Southampton,ENG,30 Aug 2018,ENG,bat,246,273,271,184,ENG,60 runs
1119553,ENG,IND,The Oval,ENG,7 Sep 2018,ENG,bat,332,292,423/8d,345,ENG,118 runs
1152839,ENG,IRE,Lord's,ENG,24 Jul 2019,ENG,bat,85,207,303,38,ENG,143 runs
1152846,AUS,ENG,Birmingham,ENG,1 Aug 2019,AUS,bat,284,374,487/7d,146,AUS,251 runs
1152847,ENG,AUS,Lord's,ENG,14 Aug 2019,AUS,bowl,258,250,258/5d,154/6,draw,-
1152848,AUS,ENG,Leeds,ENG,22 Aug 2019,ENG,bowl,179,67,246,362/9,ENG,1 wicket
1152849,AUS,ENG,Manchester,ENG,4 Sep 2019,AUS,bat,497/8d,301,186/6d,197,AUS,185 runs
1152850,ENG,AUS,The Oval,ENG,12 Sep 2019,AUS,bowl,294,225,329,263,ENG,135 runs
63911,WIN,AUS,Sydney,AUS,2 Jan 2001,WIN,bat,272,452,352,174/4,AUS,6 wickets
63953,AUS,NZL,Brisbane,AUS,8 Nov 2001,NZL,bowl,486/9d,287/8d,84/2d,274/6,draw,-
63954,AUS,NZL,Hobart,AUS,22 Nov 2001,NZL,bowl,558/8d,243/7,-,-,draw,-
63955,NZL,AUS,Perth,AUS,30 Nov 2001,NZL,bat,534/9d,351,256/9d,381/7,draw,-
63964,AUS,RSA,Adelaide,AUS,14 Dec 2001,AUS,bat,439,374,309/7d,128,AUS,246 runs
63965,RSA,AUS,Melbourne,AUS,26 Dec 2001,AUS,bowl,277,487,219,10/1,AUS,9 wickets
63966,AUS,RSA,Sydney,AUS,2 Jan 2002,AUS,bat,554,154,452 (f/o),54/0,AUS,10 wickets
64009,AUS,ENG,Brisbane,AUS,7 Nov 2002,ENG,bowl,492,325,296/5d,79,AUS,384 runs
64010,ENG,AUS,Adelaide,AUS,21 Nov 2002,ENG,bat,342,552/9d,159,-,AUS,an innings and 51 runs
64011,ENG,AUS,Perth,AUS,29 Nov 2002,ENG,bat,185,456,223,-,AUS,an innings and 48 runs
64012,AUS,ENG,Melbourne,AUS,26 Dec 2002,AUS,bat,551/6d,270,387 (f/o),107/5,AUS,5 wickets
64013,ENG,AUS,Sydney,AUS,2 Jan 2003,ENG,bat,362,363,452/9d,226,ENG,225 runs
64036,BAN,AUS,Darwin,AUS,18 Jul 2003,AUS,bowl,97,407/7d,178,-,AUS,an innings and 132 runs
64037,BAN,AUS,Cairns,AUS,25 Jul 2003,AUS,bowl,295,556/4d,163,-,AUS,an innings and 98 runs
64048,AUS,ZIM,Perth,AUS,9 Oct 2003,ZIM,bowl,735/6d,239,321 (f/o),-,AUS,an innings and 175 runs
64049,ZIM,AUS,Sydney,AUS,17 Oct 2003,ZIM,bat,308,403,266,172/1,AUS,9 wickets
64059,AUS,IND,Brisbane,AUS,4 Dec 2003,IND,bowl,323,409,284/3d,73/2,draw,-
64060,AUS,IND,Adelaide,AUS,12 Dec 2003,AUS,bat,556,523,196,233/6,IND,4 wickets
64061,IND,AUS,Melbourne,AUS,26 Dec 2003,IND,bat,366,558,286,97/1,AUS,9 wickets
64062,IND,AUS,Sydney,AUS,2 Jan 2004,IND,bat,705/7d,474,211/2d,357/6,draw,-
64091,AUS,SRL,Darwin,AUS,1 Jul 2004,SRL,bowl,207,97,201,162,AUS,149 runs
64092,AUS,SRL,Cairns,AUS,9 Jul 2004,SRL,bowl,517,455,292/9d,183/8,draw,-
64107,NZL,AUS,Brisbane,AUS,18 Nov 2004,NZL,bat,353,585,76,-,AUS,an innings and 156 runs
64108,AUS,NZL,Adelaide,AUS,26 Nov 2004,AUS,bat,575/8d,251,139/2d,250,AUS,213 runs
64113,AUS,PAK,Perth,AUS,16 Dec 2004,PAK,bowl,381,179,361/5d,72,AUS,491 runs
64114,PAK,AUS,Melbourne,AUS,26 Dec 2004,PAK,bat,341,379,163,127/1,AUS,9 wickets
64115,PAK,AUS,Sydney,AUS,2 Jan 2005,PAK,bat,304,568,325,62/1,AUS,9 wickets
221840,AUS,ICC,Sydney,AUS,14 Oct 2005,AUS,bat,345,190,199,144,AUS,210 runs
223889,AUS,WIN,Brisbane,AUS,3 Nov 2005,WIN,bowl,435,210,283/2d,129,AUS,379 runs
226120,WIN,AUS,Hobart,AUS,17 Nov 2005,WIN,bat,149,406,334,78/1,AUS,9 wickets
226348,WIN,AUS,Adelaide,AUS,25 Nov 2005,WIN,bat,405,428,204,182/3,AUS,7 wickets
226371,AUS,RSA,Perth,AUS,16 Dec 2005,AUS,bat,258,296,528/8d,287/5,draw,-
226372,AUS,RSA,Melbourne,AUS,26 Dec 2005,AUS,bat,355,311,321/7d,181,AUS,184 runs
226373,RSA,AUS,Sydney,AUS,2 Jan 2006,RSA,bat,451/9d,359,194/6d,288/2,AUS,8 wickets
249222,AUS,ENG,Brisbane,AUS,23 Nov 2006,AUS,bat,602/9d,157,202/1d,370,AUS,277 runs
249223,ENG,AUS,Adelaide,AUS,1 Dec 2006,ENG,bat,551/6d,513,129,168/4,AUS,6 wickets
249224,AUS,ENG,Perth,AUS,14 Dec 2006,AUS,bat,244,215,527/5d,350,AUS,206 runs
249225,ENG,AUS,Melbourne,AUS,26 Dec 2006,ENG,bat,159,419,161,-,AUS,an innings and 99 runs
249226,ENG,AUS,Sydney,AUS,2 Jan 2007,ENG,bat,291,393,147,46/0,AUS,10 wickets
291338,AUS,SRL,Brisbane,AUS,8 Nov 2007,SRL,bowl,551/4d,211,300 (f/o),-,AUS,an innings and 40 runs
291339,AUS,SRL,Hobart,AUS,16 Nov 2007,AUS,bat,542/5d,246,210/2d,410,AUS,96 runs
291351,AUS,IND,Melbourne,AUS,26 Dec 2007,AUS,bat,343,196,351/7d,161,AUS,337 runs
291352,AUS,IND,Sydney,AUS,2 Jan 2008,AUS,bat,463,532,401/7d,210,AUS,122 runs
291353,IND,AUS,Perth,AUS,16 Jan 2008,IND,bat,330,212,294,340,IND,72 runs
291354,IND,AUS,Adelaide,AUS,24 Jan 2008,IND,bat,526,563,269/7d,-,draw,-
351679,AUS,NZL,Brisbane,AUS,20 Nov 2008,NZL,bowl,214,156,268,177,AUS,149 runs
351680,NZL,AUS,Adelaide,AUS,28 Nov 2008,NZL,bat,270,535,203,-,AUS,an innings and 62 runs
351681,AUS,RSA,Perth,AUS,17 Dec 2008,AUS,bat,375,281,319,414/4,RSA,6 wickets
351682,AUS,RSA,Melbourne,AUS,26 Dec 2008,AUS,bat,394,459,247,183/1,RSA,9 wickets
351683,AUS,RSA,Sydney,AUS,3 Jan 2009,AUS,bat,445,327,257/4d,272,AUS,103 runs
406189,AUS,WIN,Brisbane,AUS,26 Nov 2009,AUS,bat,480/8d,228,187 (f/o),-,AUS,an innings and 65 runs
406190,WIN,AUS,Adelaide,AUS,4 Dec 2009,WIN,bat,451,439,317,212/5,draw,-
406191,AUS,WIN,Perth,AUS,16 Dec 2009,AUS,bat,520/7d,312,150,323,AUS,35 runs
406199,AUS,PAK,Melbourne,AUS,26 Dec 2009,AUS,bat,454/5d,258,225/8d,251,AUS,170 runs
406200,AUS,PAK,Sydney,AUS,3 Jan 2010,AUS,bat,127,333,381,139,AUS,36 runs
406201,AUS,PAK,Hobart,AUS,14 Jan 2010,AUS,bat,519/8d,301,219/5d,206,AUS,231 runs
428749,ENG,AUS,Brisbane,AUS,25 Nov 2010,ENG,bat,260,481,517/1d,107/1,draw,-
428750,AUS,ENG,Adelaide,AUS,3 Dec 2010,AUS,bat,245,620/5d,304,-,ENG,an innings and 71 runs
428751,AUS,ENG,Perth,AUS,16 Dec 2010,ENG,bowl,268,187,309,123,AUS,267 runs
428752,AUS,ENG,Melbourne,AUS,26 Dec 2010,ENG,bowl,98,513,258,-,ENG,an innings and 157 runs
428753,AUS,ENG,Sydney,AUS,3 Jan 2011,AUS,bat,280,644,281,-,ENG,an innings and 83 runs
518947,NZL,AUS,Brisbane,AUS,1 Dec 2011,NZL,bat,295,427,150,19/1,AUS,9 wickets
518948,NZL,AUS,Hobart,AUS,9 Dec 2011,AUS,bowl,150,136,226,233,NZL,7 runs
518950,AUS,IND,Melbourne,AUS,26 Dec 2011,AUS,bat,333,282,240,169,AUS,122 runs
518951,IND,AUS,Sydney,AUS,3 Jan 2012,IND,bat,191,659/4d,400,-,AUS,an innings and 68 runs
518952,IND,AUS,Perth,AUS,13 Jan 2012,AUS,bowl,161,369,171,-,AUS,an innings and 37 runs
518953,AUS,IND,Adelaide,AUS,24 Jan 2012,AUS,bat,604/7d,272,167/5d,201,AUS,298 runs
573007,RSA,AUS,Brisbane,AUS,9 Nov 2012,RSA,bat,450,565/5d,166/5,-,draw,-
573008,AUS,RSA,Adelaide,AUS,22 Nov 2012,AUS,bat,550,388,267/8d,248/8,draw,-
573009,RSA,AUS,Perth,AUS,30 Nov 2012,RSA,bat,225,163,569,322,RSA,309 runs
573011,AUS,SRL,Hobart,AUS,14 Dec 2012,AUS,bat,450/5d,336,278,255,AUS,137 runs
573012,SRL,AUS,Melbourne,AUS,26 Dec 2012,SRL,bat,156,460,103,-,AUS,an innings and 201 runs
573013,SRL,AUS,Sydney,AUS,3 Jan 2013,AUS,bowl,294,432/9d,278,141/5,AUS,5 wickets
592397,AUS,ENG,Brisbane,AUS,21 Nov 2013,AUS,bat,295,136,401/7d,179,AUS,381 runs
592398,AUS,ENG,Adelaide,AUS,5 Dec 2013,AUS,bat,570/9d,172,132/3d,312,AUS,218 runs
592399,AUS,ENG,Perth,AUS,13 Dec 2013,AUS,bat,385,251,369/6d,353,AUS,150 runs
592400,ENG,AUS,Melbourne,AUS,26 Dec 2013,AUS,bowl,255,204,179,231/2,AUS,8 wickets
592401,AUS,ENG,Sydney,AUS,3 Jan 2014,ENG,bowl,326,155,276,166,AUS,281 runs
754737,AUS,IND,Adelaide,AUS,9 Dec 2014,AUS,bat,517/7d,444,290/5d,315,AUS,48 runs
754739,IND,AUS,Brisbane,AUS,17 Dec 2014,IND,bat,408,505,224,130/6,AUS,4 wickets
754741,AUS,IND,Melbourne,AUS,26 Dec 2014,AUS,bat,530,465,318/9d,174/6,draw,-
754743,AUS,IND,Sydney,AUS,6 Jan 2015,AUS,bat,572/7d,475,251/6d,252/7,draw,-
892509,AUS,NZL,Brisbane,AUS,5 Nov 2015,AUS,bat,556/4d,317,264/4d,295,AUS,208 runs
892511,AUS,NZL,Perth,AUS,13 Nov 2015,AUS,bat,559/9d,624,385/7d,104/2,draw,-
892513,NZL,AUS,Adelaide,AUS,27 Nov 2015,NZL,bat,202,224,208,187/7,AUS,3 wickets
892515,AUS,WIN,Hobart,AUS,10 Dec 2015,AUS,bat,583/4d,223,148 (f/o),-,AUS,an innings and 212 runs
892517,AUS,WIN,Melbourne,AUS,26 Dec 2015,WIN,bowl,551/3d,271,179/3d,282,AUS,177 runs
892519,WIN,AUS,Sydney,AUS,3 Jan 2016,WIN,bat,330,176/2d,-,-,draw,-
1000851,RSA,AUS,Perth,AUS,3 Nov 2016,RSA,bat,242,244,540/8d,361,RSA,177 runs
1000853,AUS,RSA,Hobart,AUS,12 Nov 2016,RSA,bowl,85,326,161,-,RSA,an innings and 80 runs
1000855,RSA,AUS,Adelaide,AUS,24 Nov 2016,RSA,bat,259/9d,383,250,127/3,AUS,7 wickets
1000881,AUS,PAK,Brisbane,AUS,15 Dec 2016,AUS,bat,429,142,202/5d,450,AUS,39 runs
1000883,PAK,AUS,Melbourne,AUS,26 Dec 2016,PAK,bat,443/9d,624/8d,163,-,AUS,an innings and 18 runs
1000885,AUS,PAK,Sydney,AUS,3 Jan 2017,AUS,bat,538/8d,315,241/2d,244,AUS,220 runs
1072305,ENG,AUS,Brisbane,AUS,23 Nov 2017,ENG,bat,302,328,195,173/0,AUS,10 wickets
1072306,AUS,ENG,Adelaide,AUS,2 Dec 2017,ENG,bowl,442/8d,227,138,233,AUS,120 runs
1072307,ENG,AUS,Perth,AUS,14 Dec 2017,ENG,bat,403,662/9d,218,-,AUS,an innings and 41 runs
1072308,AUS,ENG,Melbourne,AUS,26 Dec 2017,AUS,bat,327,491,263/4d,-,draw,-
1072309,ENG,AUS,Sydney,AUS,4 Jan 2018,ENG,bat,346,649/7d,180,-,AUS,an innings and 123 runs
1144993,IND,AUS,Adelaide,AUS,6 Dec 2018,IND,bat,250,235,307,291,IND,31 runs
1144994,AUS,IND,Perth,AUS,14 Dec 2018,AUS,bat,326,283,243,140,AUS,146 runs
1144995,IND,AUS,Melbourne,AUS,26 Dec 2018,IND,bat,443/7d,151,106/8d,261,IND,137 runs
1144996,IND,AUS,Sydney,AUS,3 Jan 2019,IND,bat,622/7d,300,6/0 (f/o),-,draw,-
1145000,SRL,AUS,Brisbane,AUS,24 Jan 2019,SRL,bat,144,323,139,-,AUS,an innings and 40 runs
1145001,AUS,SRL,Canberra,AUS,1 Feb 2019,AUS,bat,534/5d,215,196/3d,149,AUS,366 runs
1183530,PAK,AUS,Brisbane,AUS,21 Nov 2019,PAK,bat,240,580,335,-,AUS,an innings and 5 runs
1183531,AUS,PAK,Adelaide,AUS,29 Nov 2019,AUS,bat,589/3d,302,239 (f/o),-,AUS,an innings and 48 runs
1183532,AUS,NZL,Perth,AUS,12 Dec 2019,AUS,bat,416,166,217/9d,171,AUS,296 runs
1183533,AUS,NZL,Melbourne,AUS,26 Dec 2019,NZL,bowl,467,148,168/5d,240,AUS,247 runs
1183534,AUS,NZL,Sydney,AUS,3 Jan 2020,AUS,bat,454,256,217/2d,136,AUS,279 runs
