fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
Azhar Mahmood,Azhar Mahmood,PAK,4,22.25,55.97,204,21.25,2.5,51,Right-hand bat,Right-arm fast-medium
Babar Azam,Babar Azam,PAK,48,45.12,56.9,-,-,-,-,Right-hand bat,Right-arm offbreak
Hemang Badani,HK Badani,INDIA,7,15.66,37.9,48,-,2.12,-,Left-hand bat,Slow left-arm orthodox
S Badrinath,S Badrinath,INDIA,3,21,35.39,-,-,-,-,Right-hand bat,Right-arm offbreak
Sairaj Bahutule,SV Bahutule,INDIA,4,13,37.14,366,67.66,3.32,122,Left-hand bat,Legbreak
George Bailey,GJ Bailey,AUS,8,26.14,58.84,-,-,-,-,Right-hand bat,Right-arm medium
Jonny Bairstow,JM Bairstow,ENG,123,34.74,55.07,-,-,-,-,Right-hand bat,Right-arm medium
Lionel Baker,LS Baker,WI,6,11.5,41.81,660,79,3.59,132,Left-hand bat,Right-arm medium-fast
Lakshmipathy Balaji,L Balaji,INDIA,9,5.66,40.47,1756,37.18,3.43,65,Right-hand bat,Right-arm medium-fast
Andy Balbirnie,A Balbirnie,IRE,6,24.33,59.1,6,-,8,-,Right-hand bat,Right-arm offbreak
Jake Ball,JT Ball,ENG,8,8.37,53.6,612,114.33,3.36,204,Right-hand bat,Right-arm fast-medium
Gary Ballance,GS Ballance,ENG,42,37.45,47.16,12,-,2.5,-,Left-hand bat,Legbreak
Cameron Bancroft,CT Bancroft,AUS,18,26.23,42.8,-,-,-,-,Right-hand bat,-
Malinga Bandara,HMCM Bandara,SL,9,17.71,53.44,1026,34.62,3.23,64.1,Right-hand bat,Legbreak
Niroshan Bandaratilleke,MRCN Bandaratilleke,SL,3,20.5,51.89,426,53.75,3.02,106.5,Right-hand bat,Slow left-arm orthodox
Sanjay Bangar,SB Bangar,INDIA,18,29.37,32.48,762,49,2.7,108.8,Right-hand bat,Right-arm medium-fast
Omari Banks,OAC Banks,WI,16,26.5,38.92,2401,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
Adrian Barath,AB Barath,WI,28,23.46,47.33,6,-,4,-,Right-hand bat,Right-arm offbreak
Gareth Batty,GJ Batty,ENG,12,14.9,25.68,1714,60.93,3.19,114.2,Right-hand bat,Right-arm offbreak
Carlton Baugh,CS Baugh,WI,36,17.94,50,-,-,-,-,Right-hand bat,Legbreak googly
Temba Bavuma,T Bavuma,SA,67,30.75,48.32,96,61,3.81,96,Right-hand bat,Right-arm medium
Bazid Khan,Bazid Khan,PAK,2,16,68.08,-,-,-,-,Right-hand bat,Right-arm offbreak
Michael Beer,MA Beer,AUS,3,3,21.42,406,59.33,2.63,135.3,Right-hand bat,Slow left-arm orthodox
Ian Bell,IR Bell,ENG,205,42.69,49.46,108,76,4.22,108,Right-hand bat,Right-arm medium
Matthew Bell,MD Bell,NZ,17,31.75,46.26,-,-,-,-,Right-hand bat,Right-arm offbreak
Sulieman Benn,SJ Benn,WI,39,14.29,60.59,7321,39.1,2.78,84.1,Left-hand bat,Slow left-arm orthodox
Hamish Bennett,HK Bennett,NZ,1,4,13.33,90,-,3.13,-,Left-hand bat,Right-arm medium-fast
David Bernard,DE Bernard,WI,6,40.4,53.15,258,46.25,4.3,64.5,Right-hand bat,Right-arm medium-fast
Brandon Bess,BJ Bess,WI,2,11,91.66,78,92,7.07,78,Right-hand bat,Right-arm fast-medium
Dom Bess,DM Bess,ENG,10,27.85,50.91,1259,33.43,2.54,78.6,Right-hand bat,Right-arm offbreak
Tino Best,TL Best,WI,38,12.53,56.79,3716,40.19,3.69,65.1,Right-hand bat,Right-arm fast
Andy Bichel,AJ Bichel,AUS,15,21.21,73.51,2557,29.57,3.4,52.1,Right-hand bat,Right-arm fast-medium
Martin Bicknell,MP Bicknell,ENG,3,6.33,52.77,558,28,3.01,55.8,Right-hand bat,Right-arm fast-medium
Bilal Asif,Bilal Asif,PAK,8,9.12,41.47,1174,26.5,2.16,73.3,Right-hand bat,Right-arm offbreak
Bilawal Bhatti,Bilawal Bhatti,PAK,3,35,45.75,438,48.5,3.98,73,Right-hand bat,Right-arm medium-fast
Stuart Binny,STR Binny,INDIA,10,21.55,58.25,450,86,3.44,150,Right-hand bat,Right-arm medium
Jackson Bird,JM Bird,AUS,9,14.33,30.49,1934,30.64,3.23,56.8,Right-hand bat,Right-arm fast-medium
Devendra Bishoo,D Bishoo,WI,61,15.36,37.15,8067,37.17,3.23,68.9,Left-hand bat,Legbreak
Marlon Black,MI Black,WI,5,3.75,21.12,552,56.66,3.69,92,Right-hand bat,Right-arm fast-medium
Ian Blackwell,ID Blackwell,ENG,1,4,25,114,-,3.73,-,Left-hand bat,Slow left-arm orthodox
Jermaine Blackwood,J Blackwood,WI,55,30.84,58.89,324,97,3.59,162,Right-hand bat,Right-arm offbreak
Andy Blignaut,AM Blignaut,ZIM,36,26.84,68.57,3173,37.05,3.71,59.8,Left-hand bat,Right-arm medium-fast
Tom Blundell,TA Blundell,NZ,11,47.22,49.47,18,-,4.33,-,Right-hand bat,Right-arm offbreak
Nicky Boje,N Boje,SA,49,23.32,50.95,6849,47.64,3.17,90.1,Left-hand bat,Slow left-arm orthodox
Doug Bollinger,DE Bollinger,AUS,14,7.71,33.96,2401,25.92,3.23,48,Left-hand bat,Left-arm fast-medium
Shane Bond,SE Bond,NZ,20,12.92,38.88,3372,22.09,3.41,38.7,Right-hand bat,Right-arm fast
Ravi Bopara,RS Bopara,ENG,19,31.94,52.89,434,290,4,434,Right-hand bat,Right-arm medium
Scott Borthwick,SG Borthwick,ENG,2,2.5,26.31,78,20.5,6.3,19.5,Left-hand bat,Legbreak
Johan Botha,J Botha,SA,6,20.75,34.87,1017,33.7,3.38,59.8,Right-hand bat,Right-arm offbreak
Mark Boucher,MV Boucher,ICC/SA,160,30.5,50.72,8,6,4.5,8,Right-hand bat,Right-arm medium
Trent Boult,TA Boult,NZ,82,15.2,56.86,14874,27.65,2.97,55.7,Right-hand bat,Left-arm fast-medium
Doug Bracewell,DAJ Bracewell,NZ,45,13.85,46.36,4984,38.83,3.36,69.2,Right-hand bat,Right-arm fast-medium
Nathan Bracken,NW Bracken,AUS,6,17.5,62.5,1110,42.08,2.72,92.5,Right-hand bat,Left-arm fast-medium
Grant Bradburn,GE Bradburn,NZ,1,0,0,252,124,2.95,252,Right-hand bat,Right-arm offbreak
Ian Bradshaw,IDR Bradshaw,WI,8,13.71,26.96,1021,60,3.17,113.4,Left-hand bat,Left-arm fast-medium
Carlos Brathwaite,CR Brathwaite,WI,5,45.25,63.73,408,242,3.55,408,Right-hand bat,Right-arm fast-medium
Kraigg Brathwaite,KC Brathwaite,WI,118,33.08,40.98,1940,57.94,3.22,107.7,Right-hand bat,Right-arm offbreak
Dwayne Bravo,DJ Bravo,WI,71,31.42,48.59,6466,39.83,3.17,75.1,Right-hand bat,Right-arm medium
Darren Bravo,DM Bravo,WI,98,37.69,44.95,6,-,2,-,Left-hand bat,Right-arm medium
Gareth Breese,GR Breese,WI,2,2.5,19.23,188,67.5,4.3,94,Right-hand bat,Right-arm offbreak
Gary Brent,GB Brent,ZIM,3,10.66,30.18,450,85,2.26,225,Right-hand bat,Right-arm medium
Tim Bresnan,TT Bresnan,ENG,26,26.13,39.43,4674,32.73,3.02,64.9,Right-hand bat,Right-arm medium-fast
Stuart Broad,SCJ Broad,ENG,205,18.98,65.41,28440,27.94,2.95,56.7,Left-hand bat,Right-arm fast-medium
Shamarh Brooks,SSJ Brooks,WI,11,33.54,47.49,-,-,-,-,Right-hand bat,Legbreak
Neil Broom,NT Broom,NZ,3,10.66,44.44,-,-,-,-,Right-hand bat,Right-arm medium
Courtney Browne,CO Browne,WI,10,13.7,45.81,-,-,-,-,Right-hand bat,-
Dean Brownlie,DG Brownlie,NZ,25,29.62,44.8,66,52,4.72,66,Right-hand bat,Right-arm medium
Jasprit Bumrah,JJ Bumrah,INDIA,21,2.9,21.91,3081,20.33,2.69,45.3,Right-hand bat,Right-arm fast
Ryan Burl,RP Burl,ZIM,2,8,41.02,-,-,-,-,Left-hand bat,Legbreak
Joe Burns,JA Burns,AUS,36,38.3,56.67,-,-,-,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Rory Burns,RJ Burns,ENG,34,35.67,44.9,-,-,-,-,Left-hand bat,Right-arm medium
Mark Butcher,MA Butcher,ENG,80,41.01,45.83,569,31,3.92,47.4,Left-hand bat,Right-arm medium
Ian Butler,IG Butler,NZ,10,9.5,46.62,1368,36.83,3.87,57,Right-hand bat,Right-arm fast
Jos Buttler,JC Buttler,ENG,78,31.63,57.51,-,-,-,-,Right-hand bat,-
Andy Caddick,AR Caddick,ENG,34,8.17,40.16,4929,31.74,3.51,54.1,Right-hand bat,Right-arm fast-medium
Chris Cairns,CL Cairns,NZ,21,37.4,83.29,2317,30.1,3.66,49.2,Right-hand bat,Right-arm fast-medium
James Cameron-Dow,J Cameron-Dow,IRE,2,41,58.57,143,39.33,4.95,47.6,Left-hand bat,Slow left-arm orthodox
Alistair Campbell,ADR Campbell,ZIM,23,31.86,45.43,-,-,-,-,Left-hand bat,Right-arm offbreak
John Campbell,JD Campbell,WI,18,25.46,60.06,61,-,2.95,-,Left-hand bat,Right-arm offbreak
Sherwin Campbell,SL Campbell,WI,4,39.75,38.78,-,-,-,-,Right-hand bat,Right-arm medium
Michael Carberry,MA Carberry,ENG,12,28.75,41.31,-,-,-,-,Left-hand bat,Right-arm offbreak
Stuart Carlisle,SV Carlisle,ZIM,42,28.94,37.87,-,-,-,-,Right-hand bat,Right-arm medium
Hilton Cartwright,HWR Cartwright,AUS,2,27.5,44,54,-,3.44,-,Right-hand bat,Right-arm medium
Beau Casson,B Casson,AUS,1,10,22.72,192,43,4.03,64,Right-hand bat,Slow left-arm chinaman
Regis Chakabva,RW Chakabva,ZIM,34,25.18,37.98,-,-,-,-,Right-hand bat,Right-arm offbreak
Dushmantha Chameera,PVD Chameera,SL,15,5.3,27.71,1391,41,4.24,57.9,Right-hand bat,Right-arm fast
Upul Chandana,UDU Chandana,SL,17,29.64,51.79,1843,49.8,3.4,87.7,Right-hand bat,Legbreak
Shivnarine Chanderpaul,S Chanderpaul,WI,205,55.66,44.21,354,62,3.15,118,Left-hand bat,Legbreak
Dinesh Chandimal,LD Chandimal,SL,103,40.81,48.69,-,-,-,-,Right-hand bat,Right-arm offbreak
Rajendra Chandrika,R Chandrika,WI,10,14,31.25,-,-,-,-,Right-hand bat,Right-arm offbreak
Brian Chari,BB Chari,ZIM,14,18.14,39.56,18,-,4,-,Right-hand bat,Right-arm offbreak
Roston Chase,RL Chase,WI,64,30.86,47.57,4922,41.15,3.46,71.3,Right-hand bat,Right-arm offbreak
Tendai Chatara,TL Chatara,ZIM,16,6.42,48.64,1695,27.62,2.34,70.6,Right-hand bat,Right-arm fast-medium
Sewnarine Chattergoon,S Chattergoon,WI,7,18.14,43.94,-,-,-,-,Left-hand bat,Legbreak
Piyush Chawla,PP Chawla,INDIA,3,2,26.08,492,38.57,3.29,70.2,Left-hand bat,Legbreak
Chamu Chibhabha,CJ Chibhabha,ZIM,6,20.66,36.36,246,162,3.95,246,Right-hand bat,Right-arm medium
Elton Chigumbura,E Chigumbura,ZIM,27,21.07,50.22,1806,46,3.2,86,Right-hand bat,Right-arm fast-medium
Michael Chinouya,MT Chinouya,ZIM,4,0.5,2.94,342,62.66,3.29,114,Right-hand bat,Right-arm fast-medium
Tendai Chisoro,TS Chisoro,ZIM,1,9,60,248,37.66,2.73,82.6,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox"
Aakash Chopra,A Chopra,INDIA,19,23,34.6,-,-,-,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Stuart Clark,SR Clark,AUS,26,13.05,70.05,5146,23.86,2.61,54.7,Right-hand bat,Right-arm fast-medium
Michael Clarke,MJ Clarke,AUS,198,49.1,55.92,2435,38.19,2.91,78.5,Right-hand bat,Slow left-arm orthodox
Rikki Clarke,R Clarke,ENG,3,32,37.94,174,15,2.06,43.5,Right-hand bat,Right-arm medium-fast
Paul Collingwood,PD Collingwood,ENG,115,40.56,46.44,1905,59.88,3.2,112,Right-hand bat,Right-arm medium
Pedro Collins,PT Collins,WI,42,6.31,35.36,6286,33.76,3.15,64.1,Right-hand bat,Left-arm fast-medium
Corey Collymore,CD Collymore,WI,50,7.5,30.92,6091,31.46,2.85,66.2,Right-hand bat,Right-arm fast-medium
Nick Compton,NRD Compton,ENG,30,28.7,36.04,-,-,-,-,Right-hand bat,Right-arm offbreak
Sir Alastair Cook,AN Cook,ENG,291,45.35,46.95,18,7,2.33,18,Left-hand bat,Right-arm slow
Stephen Cook,SC Cook,SA,19,33.26,45.07,12,-,8,-,Right-hand bat,Right-arm medium
Trent Copeland,TA Copeland,AUS,4,13,50.64,648,37.83,2.1,108,Right-hand bat,Right-arm fast-medium
Dominic Cork,DG Cork,ENG,8,17.5,50.9,1056,41.76,3.08,81.2,Right-hand bat,Right-arm fast-medium
Rahkeem Cornwall,RRS Cornwall,WI,5,6.4,52.45,921,35.23,2.98,70.8,Right-hand bat,Right-arm offbreak
Sheldon Cottrell,SS Cottrell,WI,4,2.75,45.83,276,98,4.26,138,Right-hand bat,Left-arm fast-medium
Charles Coventry,CK Coventry,ZIM,4,22,94.62,-,-,-,-,Right-hand bat,Legbreak
Ed Cowan,EJM Cowan,AUS,32,31.28,41.27,-,-,-,-,Left-hand bat,Legbreak
Mark Craig,MD Craig,NZ,25,36.81,54.38,3669,46.52,3.8,73.3,Left-hand bat,Right-arm offbreak
Mason Crane,MS Crane,ENG,2,3,54.54,288,193,4.02,288,Right-hand bat,Legbreak googly
John Crawley,JP Crawley,ENG,14,47.1,41.68,-,-,-,-,Right-hand bat,Right-arm medium
Zak Crawley,Z Crawley,ENG,10,26.1,48.87,-,-,-,-,Right-hand bat,Right-arm offbreak
Graeme Cremer,AG Cremer,ZIM,38,16.36,32.58,4214,45.68,3.7,73.9,Right-hand bat,Legbreak googly
Robert Croft,RDB Croft,ENG,7,13.33,25.72,684,26.8,2.35,68.4,Right-hand bat,Right-arm offbreak
Cameron Cuffy,CE Cuffy,WI,18,4.72,23,2854,31.91,2.41,79.2,Right-hand bat,Right-arm fast
Dan Cullen,DJ Cullen,AUS,-,-,-,84,54,3.85,84,Right-hand bat,Right-arm offbreak
Daryll Cullinan,DJ Cullinan,SA,12,56.27,46.26,-,-,-,-,Right-hand bat,Right-arm offbreak
Craig Cumming,CD Cumming,NZ,19,25.94,34.86,-,-,-,-,Right-hand bat,-
Miguel Cummins,ML Cummins,WI,22,7.6,35.51,1976,40.14,3.29,73.1,Left-hand bat,Right-arm fast-medium
Pat Cummins,PJ Cummins,AUS,44,17.02,38.51,6761,21.82,2.76,47.2,Right-hand bat,Right-arm fast
Sam Curran,SM Curran,ENG,31,26.96,65.4,2326,31.82,3.28,58.1,Left-hand bat,Left-arm medium-fast
Tom Curran,TK Curran,ENG,3,33,55,396,100,3.03,198,Right-hand bat,Right-arm fast-medium
Keith Dabengwa,KM Dabengwa,ZIM,6,15,64.28,438,49.8,3.41,87.6,Left-hand bat,Slow left-arm orthodox
Akila Dananjaya,A Dananjaya,SL,10,16.87,53.14,1385,24.81,3.54,41.9,Left-hand bat,"Right-arm offbreak, Legbreak"
Danish Kaneria,Danish Kaneria,PAK,81,7.04,48.61,17151,34.49,3.1,66.7,Right-hand bat,Legbreak
Shiv Sunder Das,SS Das,INDIA,35,32.44,37.05,48,-,3.5,-,Right-hand bat,Right-arm medium
Deep Dasgupta,D Dasgupta,INDIA,13,28.66,30.55,-,-,-,-,Right-hand bat,-
Alan Dawson,AC Dawson,SA,1,10,23.8,252,23.4,2.78,50.4,Right-hand bat,Right-arm medium-fast
Liam Dawson,LA Dawson,ENG,6,21,42.63,526,42.57,3.39,75.1,Right-hand bat,Slow left-arm orthodox
Richard Dawson,RKJ Dawson,ENG,13,11.4,31.4,1116,61.54,3.63,101.4,Right-hand bat,Right-arm offbreak
Theunis de Bruyn,TB de Bruyn,SA,23,19.45,46.87,102,-,4.35,-,Right-hand bat,Right-arm medium-fast
Zander de Bruyn,Z de Bruyn,SA,5,38.75,37.89,216,30.66,2.55,72,Right-hand bat,Right-arm fast-medium
Colin de Grandhomme,C de Grandhomme,NZ,36,37.03,81.72,3683,31.63,2.42,78.3,Right-hand bat,Right-arm medium-fast
Quinton de Kock,Q de Kock,SA,80,39.12,70.95,-,-,-,-,Left-hand bat,-
Marchant de Lange,M de Lange,SA,2,4.5,47.36,448,30.77,3.7,49.7,Right-hand bat,Right-arm fast
Joe Denly,JL Denly,ENG,28,29.53,39.64,390,109.5,3.36,195,Right-hand bat,Legbreak
Narsingh Deonarine,N Deonarine,WI,30,25.89,41.95,1503,29.7,2.84,62.6,Left-hand bat,Right-arm offbreak
Dhananjaya de Silva,DM de Silva,SL,57,35.15,56.66,1957,51.95,3.34,93.1,Right-hand bat,Right-arm offbreak
Aravinda de Silva,PA de Silva,SL,13,48.69,53.78,279,58.5,2.51,139.5,Right-hand bat,Right-arm offbreak
Sujeewa de Silva,WRS de Silva,SL,2,10,26.31,432,19,2.9,39.2,Right-hand bat,Left-arm medium-fast
AB de Villiers,AB de Villiers,SA,191,50.66,54.51,204,52,3.05,102,Right-hand bat,Right-arm medium
Friedel de Wet,F de Wet,SA,2,10,28.16,426,31,2.61,71,Right-hand bat,Right-arm fast-medium
Kumar Dharmasena,HDPK Dharmasena,SL,12,17.09,32.19,1764,58.21,2.77,126,Right-hand bat,Right-arm offbreak
Shikhar Dhawan,S Dhawan,INDIA,58,40.61,66.94,54,-,2,-,Left-hand bat,Right-arm offbreak
MS Dhoni,MS Dhoni,INDIA,144,38.09,59.11,96,-,4.18,-,Right-hand bat,Right-arm medium
Niroshan Dickwella,N Dickwella,SL,66,30.98,67.28,-,-,-,-,Left-hand bat,-
Sameer Dighe,SS Dighe,INDIA,10,15.66,38.31,-,-,-,-,Right-hand bat,-
Mervyn Dillon,M Dillon,WI,47,8.71,36.12,6522,33.79,2.92,69.3,Right-hand bat,Right-arm fast-medium
Tillakaratne Dilshan,TM Dilshan,SL,135,41.21,68.09,3385,43.87,3.03,86.7,Right-hand bat,Right-arm offbreak
Boeta Dippenaar,HH Dippenaar,SA,53,30.62,41.45,12,-,0.5,-,Right-hand bat,Right-arm offbreak
George Dockrell,GH Dockrell,IRE,2,32,35.75,240,60.5,3.02,120,Right-hand bat,Slow left-arm orthodox
Xavier Doherty,XJ Doherty,AUS,7,12.75,32.07,918,78.28,3.58,131.1,Left-hand bat,Slow left-arm orthodox
Allan Donald,AA Donald,SA,14,7.5,29.29,1460,33.27,3,66.3,Right-hand bat,Right-arm fast
Alex Doolan,AJ Doolan,AUS,8,23.87,41.97,-,-,-,-,Right-hand bat,-
Travis Dowlin,TM Dowlin,WI,11,31.18,46.22,6,-,3,-,Right-hand bat,Right-arm offbreak
Shane Dowrich,SO Dowrich,WI,62,29.07,46.99,-,-,-,-,Right-hand bat,-
Vasbert Drakes,VC Drakes,WI,20,21.44,47.13,2617,41.27,3.12,79.3,Right-hand bat,Right-arm fast
Rahul Dravid,R Dravid,ICC/INDIA,217,51.9,43.25,54,18,2,54,Right-hand bat,Right-arm offbreak
Chris Drum,CJ Drum,NZ,5,3.33,10.98,806,30.12,3.58,50.3,Right-hand bat,Right-arm fast-medium
Ben Duckett,BM Duckett,ENG,7,15.71,57.89,-,-,-,-,Left-hand bat,Right-arm offbreak
Terry Duffin,T Duffin,ZIM,4,20,44.69,-,-,-,-,Left-hand bat,Right-arm medium
Jean-Paul Duminy,JP Duminy,SA,74,32.85,46.28,2703,38.11,3.55,64.3,Left-hand bat,Right-arm offbreak
Faf du Plessis,F du Plessis,SA,112,39.8,45.45,78,-,5.3,-,Right-hand bat,Legbreak
Ebadot Hossain,Ebadat Hossain,BDESH,10,0.66,11.42,852,89.33,3.77,142,Right-hand bat,Right-arm fast-medium
Dion Ebrahim,DD Ebrahim,ZIM,55,22.68,39.31,-,-,-,-,Right-hand bat,Right-arm medium
Fidel Edwards,FH Edwards,WI,88,6.56,28.2,9602,37.87,3.9,58.1,Right-hand bat,Right-arm fast
Kirk Edwards,KA Edwards,WI,32,31.8,48.05,24,-,4.75,-,Right-hand bat,Right-arm offbreak
Ehsanul Haque,Ehsanul Haque,BDESH,2,3.5,22.58,18,-,6,-,Right-hand bat,Right-arm offbreak
Ehsan Adil,Ehsan Adil,PAK,4,5.25,51.21,481,52.6,3.28,96.2,Right-hand bat,Right-arm fast-medium
Dean Elgar,D Elgar,SA,110,38.49,45.89,1023,43.93,3.86,68.2,Left-hand bat,Slow left-arm orthodox
Elias Sunny,Elias Sunny,BDESH,6,7.6,26.57,863,43.16,3.6,71.9,Left-hand bat,Slow left-arm orthodox
Grant Elliott,GD Elliott,NZ,9,10.75,26.7,282,35,2.97,70.5,Right-hand bat,Right-arm medium
Matthew Elliott,MTG Elliott,AUS,2,0.5,9.09,-,-,-,-,Left-hand bat,Left-arm medium
