dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
22,Mark Adair,MR Adair,IRE,11,18.00,95.29,-,-,-,-,Right-hand bat,Right-arm fast
23,Andre Adams,AR Adams,NZ,34,17.45,100.47,261.0,-,5.08,-,Right-hand bat,Right-arm fast-medium
24,Jimmy Adams,JC Adams,WI,10,22.00,58.86,216.0,27.20,3.77,43.2,Left-hand bat,Slow left-arm orthodox
25,Paul Adams,PR Adams,SA,2,39.00,49.36,10972.0,36.59,3.62,60.6,Right-hand bat,Slow left-arm chinaman
26,Adeel Raja,Adeel Raja,NL,12,2.80,20.14,1103.0,118.16,3.85,183.8,Right-hand bat,Right-arm offbreak
27,Adnan Akmal,Adnan Akmal,PAK,4,20.66,69.66,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,-
28,Adnan Mufti,Adnan Mufti,UAE,16,27.50,80.68,-,-,-,-,Left-hand bat,Right-arm medium
29,Afif Hossain,Afif Hossain,BDESH,1,7.00,175.00,-,-,-,-,Left-hand bat,Right-arm offbreak
30,Afsar Zazai,Afsar Zazai,AFG,16,17.60,54.09,-,-,-,-,Right-hand bat,-
31,Aftab Ahmed,Aftab Ahmed,BDESH,85,24.73,83.04,150.0,105.00,4.20,150.0,Right-hand bat,Right-arm medium
32,Aftab Alam,Aftab Alam,AFG,17,11.42,74.76,198.0,149.00,4.51,198.0,Right-hand bat,Right-arm medium-fast
33,Afzaal Haider,Afzaal Haider,HKG,4,7.33,42.30,185.0,13.16,2.56,30.8,Right-hand bat,Right-arm medium
34,Ragheb Aga,RG Aga,KENYA,9,16.66,71.77,54.0,-,4.11,-,Right-hand bat,Right-arm medium-fast
35,Ashton Agar,AC Agar,AUS,11,21.00,89.15,-,-,-,-,Left-hand bat,Slow left-arm orthodox
36,Ajit Agarkar,AB Agarkar,INDIA,74,13.80,77.74,1302.0,41.18,3.03,81.3,Right-hand bat,Right-arm fast
37,Mayank Agarwal,MA Agarwal,INDIA,3,12.00,92.30,33163.0,26.85,2.86,56.3,Right-hand bat,-
38,Khaleel Ahmed,KK Ahmed,INDIA,3,4.50,52.94,408.0,55.00,4.04,81.6,Right-hand bat,Left-arm medium
39,Ahmed Raza,Ahmed Raza,UAE,26,12.95,56.66,348.0,-,5.29,-,Right-hand bat,Slow left-arm orthodox
40,Ahmed Shah,Ahmed Shah,AFG,1,2.00,20.00,-,-,-,-,Left-hand bat,Slow left-arm orthodox
41,Ahmed Shehzad,Ahmed Shehzad,PAK,81,32.56,72.08,2040.0,30.11,3.01,60.0,Right-hand bat,Legbreak
42,Ahsan Malik,Ahsan Malik,NL,5,-,51.85,66.0,24.00,2.18,66.0,Right-hand bat,Right-arm medium-fast
43,Aijaz Ali,Aijaz Ali,USA,2,2.50,45.45,1008.0,62.88,3.36,112.0,Right-hand bat,Right-arm medium-fast
44,Dipendra Singh Airee,DS Airee,NEPAL,10,17.66,68.83,338.0,42.00,2.98,84.5,Right-hand bat,"Right-arm medium, Right-arm offbreak"
45,Kamal Singh,KS Airee,NEPAL,1,-,150.00,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm medium
46,Aizaz Khan,Aizaz Khan,HKG,15,20.00,69.51,298.0,86.00,3.46,149.0,Right-hand bat,Right-arm medium-fast
47,Aizaz Cheema,Aizaz Cheema,PAK,6,8.66,57.77,12.0,-,8.00,-,Right-hand bat,Right-arm medium-fast
48,Akram Khan,Akram Khan,BDESH,9,20.00,47.12,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm medium
49,Akshay Homraj,Akshay Homraj,USA,8,19.87,71.30,-,-,-,-,Right-hand bat,-
50,Alawi Shukri,Alawi Shukri,UAE,1,1.00,33.33,2075.0,35.63,2.26,94.3,Left-hand bat,Right-arm offbreak
51,Graeme Aldridge,GW Aldridge,NZ,-,-,-,667.0,52.57,3.31,95.2,Right-hand bat,Right-arm fast-medium
52,Rohan Alexander,RP Alexander,USA,2,17.00,45.33,-,-,-,-,Left-hand bat,Right-arm offbreak
53,Kabir Ali,Kabir Ali,ENG,9,15.50,86.11,-,-,-,-,Right-hand bat,Right-arm medium-fast
54,Moeen Ali,MM Ali,ENG,83,25.84,104.08,326.0,51.66,2.85,108.6,Left-hand bat,Right-arm offbreak
55,Ali Asad,Ali Asad,UAE,2,21.00,44.68,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Right-arm fast-medium
56,Ali Khan,Ali Khan,USA,1,3.00,27.27,204.0,21.25,2.50,51.0,Right-hand bat,Right-arm fast-medium
57,Duncan Allan,DI Allan,KENYA,5,14.20,46.40,-,-,-,-,Right-hand bat,Right-arm medium-fast
58,Fabian Allen,FA Allen,WI,12,15.88,110.00,48.0,-,2.12,-,Right-hand bat,Slow left-arm orthodox
59,Alok Kapali,Alok Kapali,BDESH,66,19.60,67.96,-,-,-,-,Right-hand bat,Legbreak
60,Al-Amin Hossain,Al-Amin Hossain,BDESH,7,2.00,20.00,366.0,67.66,3.32,122.0,Right-hand bat,Right-arm medium-fast
61,Al Sahariar,Al Sahariar,BDESH,24,10.91,51.47,-,-,-,-,Right-hand bat,Legbreak
62,Aman Ali,Aman Ali,UAE,1,0.00,0.00,-,-,-,-,Right-hand bat,Left-arm fast-medium
63,Sunil Ambris,SW Ambris,WI,12,44.70,97.17,660.0,79.00,3.59,132.0,Right-hand bat,-
64,Tim Ambrose,TR Ambrose,ENG,5,2.50,29.41,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,-
65,Ishara Amerasinghe,MKDI Amerasinghe,SL,4,-,66.66,6.0,-,8.00,-,Right-hand bat,Right-arm fast-medium
66,Charles Amini,CJA Amini,PNG,15,21.14,68.83,612.0,114.33,3.36,204.0,Left-hand bat,Legbreak
67,Chris Amini,CR Amini,PNG,1,-,100.00,12.0,-,2.50,-,Right-hand bat,Right-arm medium
68,Aminul Islam,Aminul Islam,BDESH,2,16.50,71.73,-,-,-,-,Right-hand bat,Right-arm offbreak
69,Amir Hayat,Amir Hayat,UAE,6,10.33,42.46,1026.0,34.62,3.23,64.1,Right-hand bat,Right-arm medium
70,Amir Hamza,Amir Hamza,AFG,16,3.28,24.46,426.0,53.75,3.02,106.5,Right-hand bat,Slow left-arm orthodox
71,Amjad Ali,Amjad Ali,UAE,17,30.58,76.47,762.0,49.00,2.70,108.8,Left-hand bat,Legbreak
72,Amjad Javed,Amjad Javed,UAE,13,19.91,89.51,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm medium
73,Hashim Amla,HM Amla,SA,178,49.46,88.39,6.0,-,4.00,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
74,Anamul Haque,Anamul Haque,BDESH,35,30.05,70.69,1713.9999999999998,60.93,3.19,114.2,Right-hand bat,-
75,Corey Anderson,CJ Anderson,NZ,45,27.72,108.72,-,-,-,-,Left-hand bat,Left-arm medium-fast
76,John Anderson,J Anderson,IRE,8,18.87,56.55,96.0,61.00,3.81,96.0,Right-hand bat,Right-arm offbreak
77,James Anderson,JM Anderson,ENG,79,7.58,48.66,-,-,-,-,Left-hand bat,Right-arm fast-medium
78,Joseph Angara,JO Angara,KENYA,8,2.75,29.72,406.00000000000006,59.33,2.63,135.3,Right-hand bat,Right-arm medium-fast
79,Ankur Vasishta,Ankur Vasishta,HKG,4,12.00,52.17,108.0,76.00,4.22,108.0,Right-hand bat,Right-arm offbreak
80,Zafar Ansari,ZS Ansari,ENG,-,-,-,-,-,-,-,Left-hand bat,Slow left-arm orthodox
81,Anshy Rath,Anshuman Rath,HKG,18,51.75,76.66,7320.999999999999,39.10,2.78,84.1,Left-hand bat,Slow left-arm orthodox
82,Anwar Ali,Anwar Ali,PAK,16,29.18,87.46,90.0,-,3.13,-,Right-hand bat,Right-arm medium-fast
83,Anwar Hossain Monir,Anwar Hossain Monir,BDESH,1,-,0.00,258.0,46.25,4.30,64.5,Right-hand bat,Right-arm fast-medium
84,Anwar Hossain,Anwar Hossain,BDESH,1,42.00,39.25,78.0,92.00,7.07,78.0,Right-hand bat,-
85,Amila Aponso,MA Aponso,SL,7,3.33,22.22,1259.0,33.43,2.54,78.6,Right-hand bat,Slow left-arm orthodox
86,Aqib Ilyas,Aqib Ilyas,OMAN,11,69.00,80.85,3716.0000000000005,40.19,3.69,65.1,Right-hand bat,"Right-arm offbreak, Legbreak googly"
87,Arafat Sunny,Arafat Sunny,BDESH,11,12.00,52.17,2557.0,29.57,3.40,52.1,Left-hand bat,Slow left-arm orthodox
88,Vriitya Aravind,V Aravind,UAE,6,14.66,88.00,558.0,28.00,3.01,55.8,Right-hand bat,-
89,Jofra Archer,JC Archer,ENG,7,3.25,59.09,1174.0,26.50,2.16,73.3,Right-hand bat,Right-arm fast
90,Ariful Haque,Ariful Haque,BDESH,-,-,-,438.0,48.50,3.98,73.0,Right-hand bat,Right-arm medium-fast
91,Russel Arnold,RP Arnold,SL,121,33.34,71.48,450.0,86.00,3.44,150.0,Left-hand bat,Right-arm offbreak
92,Arshad Ali,Arshad Ali,UAE,4,13.50,52.94,1934.0,30.64,3.23,56.8,Right-hand bat,Legbreak
93,Arshad Khan,Arshad Khan,PAK,3,-,73.68,8067.0,37.17,3.23,68.9,Right-hand bat,Right-arm offbreak
94,Asad Ali,Asad Ali,PAK,2,6.50,81.25,552.0,56.66,3.69,92.0,Right-hand bat,Right-arm medium-fast
95,Asad Shafiq,Asad Shafiq,PAK,58,24.74,67.50,114.0,-,3.73,-,Right-hand bat,Right-arm offbreak
96,Asghar Afghan,Asghar Afghan,AFG,105,24.54,66.72,324.0,97.00,3.59,162.0,Right-hand bat,Right-arm medium-fast
97,Asghar Ali,Asghar Ali,UAE,2,7.00,26.41,3173.0,37.05,3.71,59.8,Right-hand bat,-
98,Ashfaq Ahmed,Ashfaq Ahmed,UAE,16,21.50,88.88,18.0,-,4.33,-,Right-hand bat,Right-arm offbreak
99,Ravichandran Ashwin,R Ashwin,INDIA,61,16.07,86.98,6849.0,47.64,3.17,90.1,Right-hand bat,Right-arm offbreak
100,Asif Ali,Asif Ali,PAK,14,27.76,128.92,2401.0,25.92,3.23,48.0,Right-hand bat,Right-arm medium-fast
101,Asif Iqbal,Asif Iqbal,1),1,8.00,100.00,3372.0,22.09,3.41,38.7,Right-hand bat,-
102,Asim Saeed,Asim Saeed,UAE,2,6.00,63.15,434.0,290.00,4.00,434.0,Right-hand bat,Left-arm medium
103,Nathan Astle,NJ Astle,NZ,99,35.55,72.75,78.0,20.50,6.30,19.5,Right-hand bat,Right-arm medium
104,Todd Astle,TD Astle,NZ,5,26.33,102.59,1017.0000000000001,33.70,3.38,59.8,Right-hand bat,Legbreak
105,Simon Atai,SK Atai,PNG,1,24.00,42.10,8.0,6.00,4.50,8.0,Left-hand bat,-
106,Marvan Atapattu,MS Atapattu,SL,151,38.25,68.94,14874.0,27.65,2.97,55.7,Right-hand bat,Legbreak
107,Jamie Atkinson,JJ Atkinson,HKG,9,27.77,62.81,4984.0,38.83,3.36,69.2,Right-hand bat,-
108,Azhar Ali,Azhar Ali,PAK,53,36.90,74.45,1110.0,42.08,2.72,92.5,Right-hand bat,Legbreak
109,Azhar Mahmood,Azhar Mahmood,PAK,36,17.23,77.24,252.0,124.00,2.95,252.0,Right-hand bat,Right-arm fast-medium
110,Stephan Baard,SJ Baard,NAM,8,19.87,55.59,1021.0,60.00,3.17,113.4,Right-hand bat,Right-arm medium-fast
111,Babar Azam,Babar Azam,PAK,72,54.17,87.08,408.0,242.00,3.55,408.0,Right-hand bat,Right-arm offbreak
112,Babar Hayat,Babar Hayat,HKG,22,39.20,78.47,1940.0,57.94,3.22,107.7,Right-hand bat,Right-arm medium
113,Adam Bacher,AM Bacher,SA,5,20.40,58.28,6466.000000000001,39.83,3.17,75.1,Right-hand bat,Right-arm medium
114,Badal Singh,Badal Singh,OMAN,1,5.00,41.66,6.0,-,2.00,-,Left-hand bat,Slow left-arm orthodox
115,Hemang Badani,HK Badani,INDIA,29,29.90,71.68,188.0,67.50,4.30,94.0,Left-hand bat,Slow left-arm orthodox
116,S Badrinath,S Badrinath,INDIA,6,15.80,45.93,450.0,85.00,2.26,225.0,Right-hand bat,Right-arm offbreak
117,Ashish Bagai,A Bagai,CAN,60,37.76,65.57,4674.0,32.73,3.02,64.9,Right-hand bat,-
118,Sairaj Bahutule,SV Bahutule,INDIA,1,11.00,84.61,28440.0,27.94,2.95,56.7,Left-hand bat,Legbreak
119,Harvir Baidwan,HS Baidwan,CAN,22,14.66,64.89,-,-,-,-,Right-hand bat,Right-arm medium
120,George Bailey,GJ Bailey,AUS,85,40.58,83.51,-,-,-,-,Right-hand bat,Right-arm medium
121,Jonny Bairstow,JM Bairstow,ENG,70,47.14,104.50,-,-,-,-,Right-hand bat,Right-arm medium
122,Lionel Baker,LS Baker,WI,4,6.50,56.52,66.0,52.00,4.72,66.0,Left-hand bat,Right-arm medium-fast
123,Lakshmipathy Balaji,L Balaji,INDIA,16,12.00,78.94,3080.9999999999995,20.33,2.69,45.3,Right-hand bat,Right-arm medium-fast
124,Balaji Rao,WD Balaji Rao,CAN,8,7.37,66.29,-,-,-,-,Left-hand bat,Legbreak googly
125,Andy Balbirnie,A Balbirnie,IRE,64,31.83,75.49,-,-,-,-,Right-hand bat,Right-arm offbreak
126,Jake Ball,JT Ball,ENG,6,9.50,77.55,-,-,-,-,Right-hand bat,Right-arm fast-medium
127,Gary Ballance,GS Ballance,ENG,15,21.21,67.04,569.0,31.00,3.92,47.4,Left-hand bat,Legbreak
128,Malinga Bandara,HMCM Bandara,SL,17,12.30,71.42,1368.0,36.83,3.87,57.0,Right-hand bat,Legbreak
129,Chaminda Bandara,KMC Bandara,SL,1,-,33.33,-,-,-,-,Left-hand bat,Left-arm medium-fast
130,Sanjay Bangar,SB Bangar,INDIA,15,13.84,75.31,4929.0,31.74,3.51,54.1,Right-hand bat,Right-arm medium-fast
131,Omari Banks,OAC Banks,WI,5,16.60,55.70,2317.0,30.10,3.66,49.2,Right-hand bat,Right-arm offbreak
132,Tom Banton,T Banton,ENG,2,25.00,90.90,143.0,39.33,4.95,47.6,Right-hand bat,-
133,Adrian Barath,AB Barath,WI,14,30.30,64.37,-,-,-,-,Right-hand bat,Right-arm offbreak
134,Geoff Barnett,GEF Barnett,CAN,22,20.68,61.07,61.0,-,2.95,-,Left-hand bat,Right-arm medium-fast
135,Wesley Barresi,W Barresi,NL,31,35.65,75.67,-,-,-,-,Right-hand bat,Right-arm offbreak
136,Oronde Bascome,OO Bascome,BMUDA,6,10.83,44.82,-,-,-,-,Right-hand bat,Right-arm medium
137,Dwight Basden,DM Basden,BMUDA,2,6.00,30.76,-,-,-,-,Right-hand bat,-
138,Basil Hameed,Basil Hameed,UAE,5,38.00,70.37,54.0,-,3.44,-,Right-hand bat,Right-arm offbreak
139,Trevin Bastiampillai,TC Bastiampillai,CAN,13,13.46,58.13,192.0,43.00,4.03,64.0,Right-hand bat,Right-arm offbreak
140,Michael Bates,MD Bates,NZ,1,13.00,130.00,-,-,-,-,Right-hand bat,Left-arm medium-fast
141,Gareth Batty,GJ Batty,ENG,8,5.00,41.09,1391.0,41.00,4.24,57.9,Right-hand bat,Right-arm offbreak
142,Indika Batuwitarachchi,IPP Batuwitarachchi,UAE,2,7.00,29.16,1843.0000000000002,49.80,3.40,87.7,Right-hand bat,Right-arm bowler
143,Dogodo Bau,D Bau,PNG,10,18.88,53.29,354.0,62.00,3.15,118.0,Right-hand bat,-
144,Sese Bau,S Bau,PNG,21,18.90,62.79,-,-,-,-,Left-hand bat,Right-arm medium
145,Carlton Baugh,CS Baugh,WI,35,20.08,67.03,-,-,-,-,Right-hand bat,Legbreak googly
146,Temba Bavuma,T Bavuma,SA,6,55.83,92.28,18.0,-,4.00,-,Right-hand bat,Right-arm medium
147,Bazid Khan,Bazid Khan,PAK,5,26.20,56.46,4922.0,41.15,3.46,71.3,Right-hand bat,Right-arm offbreak
148,Ronsford Beaton,RR Beaton,WI,2,15.00,29.41,1695.0,27.62,2.34,70.6,Right-hand bat,Right-arm fast-medium
149,Farhaan Behardien,F Behardien,SA,49,30.68,97.90,-,-,-,-,Right-hand bat,Right-arm fast-medium
150,Jason Behrendorff,JP Behrendorff,AUS,5,9.50,126.66,492.0,38.57,3.29,70.2,Right-hand bat,Left-arm fast-medium
151,Ian Bell,IR Bell,ENG,157,37.87,77.16,246.0,162.00,3.95,246.0,Right-hand bat,Right-arm medium
152,Matthew Bell,MD Bell,NZ,4,19.50,60.46,1806.0,46.00,3.20,86.0,Right-hand bat,Right-arm offbreak
153,Dale Benkenstein,DM Benkenstein,SA,2,4.50,75.00,342.0,62.66,3.29,114.0,Right-hand bat,"Right-arm medium, Right-arm offbreak"
154,Sulieman Benn,SJ Benn,WI,30,7.91,75.83,248.00000000000003,37.66,2.73,82.6,Left-hand bat,Slow left-arm orthodox
155,Hamish Bennett,HK Bennett,NZ,7,5.00,28.57,-,-,-,-,Left-hand bat,Right-arm medium-fast
156,Andri Berenger,AR Berenger,UAE,10,20.50,67.43,5146.0,23.86,2.61,54.7,Right-hand bat,-
157,David Bernard,DE Bernard,WI,12,14.10,64.38,2435.0,38.19,2.91,78.5,Right-hand bat,Right-arm medium-fast
158,Richie Berrington,RD Berrington,SCOT,73,28.08,74.24,174.0,15.00,2.06,43.5,Right-hand bat,Right-arm medium-fast
159,Tino Best,TL Best,WI,16,9.50,60.80,1905.0,59.88,3.20,112.0,Right-hand bat,Right-arm fast
160,Michael Bevan,MG Bevan,AUS,67,47.93,72.44,6286.000000000001,33.76,3.15,64.1,Left-hand bat,Slow left-arm chinaman
161,Amit Bhandari,A Bhandari,INDIA,-,-,-,6091.0,31.46,2.85,66.2,Right-hand bat,Right-arm fast-medium
162,Binod Bhandari,B Bhandari,NEPAL,6,25.83,67.98,-,-,-,-,Right-hand bat,Right-arm bowler
163,Lalit Bhandari,LS Bhandari,NEPAL,1,-,44.44,18.0,7.00,2.33,18.0,Left-hand bat,Left-arm medium
164,Minod Bhanuka,M Bhanuka,SL,1,36.00,92.30,12.0,-,8.00,-,Left-hand bat,-
165,Sushan Bhari,S Bhari,NEPAL,2,9.50,63.33,648.0,37.83,2.10,108.0,Left-hand bat,Slow left-arm orthodox
166,Rustam Bhatti,RA Bhatti,CAN,1,-,75.00,1056.0,41.76,3.08,81.2,Right-hand bat,Right-arm offbreak
167,Umar Bhatti,U Bhatti,CAN,30,17.18,73.68,921.0000000000001,35.23,2.98,70.8,Left-hand bat,Left-arm medium
168,Rajesh Bhudia,RL Bhudia,KENYA,5,24.40,98.38,276.0,98.00,4.26,138.0,Right-hand bat,Right-arm medium
169,Andy Bichel,AJ Bichel,AUS,25,23.25,85.32,-,-,-,-,Right-hand bat,Right-arm fast-medium
170,Bilal Asif,Bilal Asif,PAK,3,13.33,81.63,-,-,-,-,Right-hand bat,Right-arm offbreak
171,Bilal Khan,Bilal Khan,OMAN,4,4.50,81.81,3668.9999999999995,46.52,3.80,73.3,Left-hand bat,Left-arm medium-fast
172,Bilawal Bhatti,Bilawal Bhatti,PAK,7,14.83,118.66,288.0,193.00,4.02,288.0,Right-hand bat,Right-arm medium-fast
173,Ian Billcliff,IS Billcliff,CAN,19,27.84,66.70,-,-,-,-,Right-hand bat,Right-arm medium
174,Sam Billings,SW Billings,ENG,12,22.58,90.93,-,-,-,-,Right-hand bat,-
175,Stuart Binny,STR Binny,INDIA,11,28.75,93.49,4214.0,45.68,3.70,73.9,Right-hand bat,Right-arm medium
176,Karl Birkenstock,K Birkenstock,NAM,8,19.37,58.49,684.0,26.80,2.35,68.4,Left-hand bat,Right-arm fast-medium
177,Devendra Bishoo,D Bishoo,WI,25,10.93,62.35,2854.0,31.91,2.41,79.2,Left-hand bat,Legbreak
178,Marlon Black,MI Black,WI,2,2.00,28.57,84.0,54.00,3.85,84.0,Right-hand bat,Right-arm fast-medium
179,Ian Blackwell,ID Blackwell,ENG,29,14.92,86.66,-,-,-,-,Left-hand bat,Slow left-arm orthodox
180,Jermaine Blackwood,J Blackwood,WI,2,5.50,47.82,-,-,-,-,Right-hand bat,Right-arm offbreak
181,John Blain,JAR Blain,SCOT,20,17.93,57.60,1976.0,40.14,3.29,73.1,Right-hand bat,Right-arm fast-medium
182,Donovan Blake,DL Blake,USA,1,0.00,0.00,6761.0,21.82,2.76,47.2,Right-hand bat,Right-arm medium-fast
183,Glenn Blakeney,G Blakeney,BMUDA,2,36.00,104.34,2326.0,31.82,3.28,58.1,Left-hand bat,-
184,Andy Blignaut,AM Blignaut,ZIM,34,21.22,111.26,396.0,100.00,3.03,198.0,Left-hand bat,Right-arm medium-fast
185,Tom Blundell,TA Blundell,NZ,2,15.50,88.57,438.0,49.80,3.41,87.6,Right-hand bat,Right-arm offbreak
186,Gulam Bodi,GH Bodi,SA,2,41.50,62.87,1385.0,24.81,3.54,41.9,Left-hand bat,Slow left-arm chinaman
187,Abinash Bohara,A Bohara,NEPAL,2,-,92.85,17151.0,34.49,3.10,66.7,Right-hand bat,Right-arm medium
188,Nicky Boje,N Boje,Afr/SA,40,25.06,88.57,48.0,-,3.50,-,Left-hand bat,Slow left-arm orthodox
189,Scott Boland,SM Boland,AUS,4,3.00,40.90,-,-,-,-,Right-hand bat,Right-arm fast-medium
190,Doug Bollinger,DE Bollinger,AUS,8,8.33,92.59,252.0,23.40,2.78,50.4,Left-hand bat,Left-arm fast-medium
191,Shane Bond,SE Bond,NZ,40,16.22,76.04,526.0,42.57,3.39,75.1,Right-hand bat,Right-arm fast
192,Ravi Bopara,RS Bopara,ENG,109,30.62,77.84,1116.0,61.54,3.63,101.4,Right-hand bat,Right-arm medium
193,Delyone Borden,DCC Borden,BMUDA,11,14.00,50.25,102.0,-,4.35,-,Left-hand bat,Right-arm offbreak
194,Peter Borren,PW Borren,NL,50,22.31,85.37,216.0,30.66,2.55,72.0,Right-hand bat,Right-arm medium
195,Scott Borthwick,SG Borthwick,ENG,2,9.00,112.50,3683.0,31.63,2.42,78.3,Left-hand bat,Legbreak
196,Loots Bosman,LE Bosman,Afr/SA,12,25.08,98.68,-,-,-,-,Right-hand bat,Right-arm medium
197,Andre Botha,AC Botha,IRE,38,19.58,68.65,448.00000000000006,30.77,3.70,49.7,Left-hand bat,Right-arm medium
198,Johan Botha,J Botha,Afr/SA,50,19.03,85.77,390.0,109.50,3.36,195.0,Right-hand bat,Right-arm offbreak
199,Mark Boucher,MV Boucher,Afr/SA,164,31.23,88.54,1503.0,29.70,2.84,62.6,Right-hand bat,Right-arm medium
dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Trent Boult,TA Boult,NZ,40,9.35,74.64,1957.0000000000002,51.95,3.34,93.1,Right-hand bat,Left-arm fast-medium
1,Doug Bracewell,DAJ Bracewell,NZ,12,15.80,73.83,279.0,58.50,2.51,139.5,Right-hand bat,Right-arm fast-medium
2,Nathan Bracken,NW Bracken,AUS,35,11.70,70.56,432.0,19.00,2.90,39.2,Right-hand bat,Left-arm fast-medium
3,Grant Bradburn,GE Bradburn,NZ,3,3.00,20.00,204.0,52.00,3.05,102.0,Right-hand bat,Right-arm offbreak
4,Ian Bradshaw,IDR Bradshaw,WI,34,12.47,59.79,426.0,31.00,2.61,71.0,Left-hand bat,Left-arm fast-medium
5,Carlos Brathwaite,CR Brathwaite,WI,37,16.44,91.04,1764.0,58.21,2.77,126.0,Right-hand bat,Right-arm fast-medium
6,Kraigg Brathwaite,KC Brathwaite,WI,10,27.80,57.55,54.0,-,2.00,-,Right-hand bat,Right-arm offbreak
7,Dwayne Bravo,DJ Bravo,WI,141,25.36,82.30,96.0,-,4.18,-,Right-hand bat,Right-arm medium
8,Darren Bravo,DM Bravo,WI,108,30.54,70.23,-,-,-,-,Left-hand bat,Right-arm medium
9,Jeremy Bray,JP Bray,IRE,15,28.64,67.50,-,-,-,-,Left-hand bat,-
10,Gary Brent,GB Brent,ZIM,39,13.48,60.50,6522.0,33.79,2.92,69.3,Right-hand bat,Right-arm medium
11,Tim Bresnan,TT Bresnan,ENG,64,19.79,90.25,3385.0,43.87,3.03,86.7,Right-hand bat,Right-arm medium-fast
12,Danny Briggs,DR Briggs,ENG,-,-,-,12.0,-,0.50,-,Right-hand bat,Slow left-arm orthodox
13,Andrew Britton,SA Britton,IRE,-,-,-,240.0,60.50,3.02,120.0,Right-hand bat,Right-arm fast
14,Stuart Broad,SCJ Broad,ENG,68,12.30,74.61,918.0,78.28,3.58,131.1,Left-hand bat,Right-arm fast-medium
15,Neil Broom,NT Broom,NZ,39,26.94,81.22,1460.0,33.27,3.00,66.3,Right-hand bat,Right-arm medium
